sample	segments	stdev	mad	iqr	bivar
EX_11_N	152	0.2082877	0.1402570	0.1892102	0.1601587
EX_11_T	145	0.2345787	0.1687362	0.2276385	0.1918465
EX_12_N	151	0.1875498	0.1214152	0.1638062	0.1390633
EX_12_T	142	0.2208251	0.1727071	0.2330799	0.1857162
EX_19_N	192	0.2216528	0.1599518	0.2163320	0.1751249
EX_19_T	143	0.2736898	0.1789927	0.2418941	0.2133880
EX_35_N	186	0.2062038	0.1389930	0.1879049	0.1569394
EX_35_T	219	0.2485262	0.1892740	0.2558083	0.2103841
EX_37_N	150	0.2530396	0.1739032	0.2348580	0.2021544
EX_37_T	310	0.4651909	0.3632655	0.4912660	0.4039648
EX_40_N	171	0.1956933	0.1276554	0.1724476	0.1439786
EX_40_T	147	0.2216994	0.1468886	0.1983310	0.1757366
EX_46_N	151	0.3054227	0.1234443	0.1665171	0.1408528
EX_46_T	165	0.3850829	0.1782983	0.2406053	0.2035426
EX_49_N	150	0.2266596	0.1506783	0.2033082	0.1726604
EX_49_T	156	0.1869244	0.1275733	0.1720990	0.1458992
EX_53_N	153	0.2131710	0.1421601	0.1917551	0.1636887
EX_53_T	136	0.2315049	0.1711152	0.2308359	0.1902353
EX_71_N	157	0.1752408	0.1175565	0.1586244	0.1325208
EX_71_T	159	0.2043318	0.1443533	0.1950290	0.1622646
