sample	segments	stdev	mad	iqr	bivar
EX_11_N	83	0.2188019	0.1351610	0.1823740	0.1555520
EX_11_T	118	0.2387795	0.1610053	0.2171760	0.1812775
EX_12_N	105	0.2158826	0.1163593	0.1569664	0.1348206
EX_12_T	621	0.2391486	0.1611269	0.2173950	0.1741771
EX_19_N	1006	0.2394729	0.1426428	0.1926757	0.1570892
EX_19_T	187	0.2824286	0.1649407	0.2229697	0.1964980
EX_35_N	135	0.2032956	0.1343013	0.1814473	0.1515627
EX_35_T	216	0.2352553	0.1807512	0.2443143	0.1992167
EX_37_N	132	0.2766390	0.1728976	0.2337665	0.1998615
EX_37_T	1350	0.4627600	0.3369380	0.4562440	0.3742899
EX_40_N	154	0.2099250	0.1216404	0.1642324	0.1386462
EX_40_T	176	0.1988971	0.1309907	0.1767930	0.1485957
EX_46_N	111	0.4380848	0.1172991	0.1584516	0.1353661
EX_46_T	199	0.4952978	0.1552504	0.2094504	0.1721730
EX_49_N	100	0.2056438	0.1482171	0.1999590	0.1694762
EX_49_T	130	0.1766440	0.1282775	0.1730596	0.1454143
EX_53_N	92	0.2248990	0.1378345	0.1858985	0.1595908
EX_53_T	101	0.2420887	0.1642513	0.2215733	0.1829251
EX_71_N	143	0.1533949	0.1112165	0.1500140	0.1272185
EX_71_T	138	0.1792839	0.1365000	0.1847422	0.1529951
