sample	segments	stdev	mad	iqr	bivar
TR_01_N_flat	97	0.9093956	0.2166064	0.2922683	0.2404916
TR_01_T_flat	92	0.9589068	0.2115147	0.2865565	0.2473489
TR_02_N_flat	90	0.9146809	0.2128744	0.2873975	0.2439218
TR_02_T_flat	106	0.9187453	0.2143469	0.2897291	0.2422423
TR_04_N_flat	79	0.9142213	0.2216682	0.2996563	0.2624919
TR_04_T_flat	89	0.9309900	0.2246052	0.3046065	0.2630760
TR_05_N_flat	89	0.8792505	0.2310135	0.3114870	0.2626017
TR_05_T_flat	93	0.9735545	0.3339972	0.4522130	0.3822123
TR_06_N_flat	99	0.9220720	0.2583052	0.3486655	0.2836476
TR_06_T_flat	96	0.9877062	0.2835643	0.3824757	0.3311675
TR_08_N_flat	88	0.9073682	0.2173984	0.2932825	0.2429870
TR_08_T_flat	97	0.9211388	0.2189763	0.2949686	0.2486185
TR_101_N_flat	89	1.1553511	0.2546489	0.3453153	0.2880750
TR_101_T_flat	87	1.2222916	0.2685494	0.3629965	0.3153814
TR_10_N_flat	86	1.1018050	0.2480747	0.3349788	0.2895959
TR_10_T_flat	94	1.0064692	0.2493882	0.3375100	0.2735769
TR_11_N_flat	100	0.9907493	0.3020574	0.4075120	0.3483601
TR_11_T_flat	93	0.9927261	0.2797681	0.3780902	0.3435883
TR_12_N_flat	97	1.0481954	0.2038723	0.2753580	0.2351911
TR_12_T_flat	89	1.0675437	0.2253226	0.3055370	0.2665026
TR_13_N_flat	92	1.0281935	0.2117138	0.2857425	0.2383388
TR_13_T_flat	90	0.8949915	0.2016581	0.2735485	0.2386644
TR_14_N_flat	82	0.9850952	0.2812998	0.3812080	0.3375762
TR_14_T_flat	79	1.0405434	0.2736644	0.3711777	0.3382711
TR_16_N_flat	84	0.8816293	0.2184051	0.2948005	0.2535632
TR_16_T_flat	90	0.9241792	0.2179524	0.2957290	0.2600829
TR_17_N_flat	101	0.8980808	0.2646515	0.3565705	0.2940463
TR_17_T_flat	97	0.9617061	0.2824532	0.3819192	0.3339461
TR_22_N_flat	85	1.2400707	0.3716078	0.5013660	0.4129854
TR_22_T_flat	100	1.0427251	0.3494609	0.4717645	0.3892281
TR_23_N_flat	98	0.9200991	0.2659462	0.3596975	0.3031000
TR_23_T_flat	76	1.2972731	0.4955161	0.6717028	0.5554611
TR_25_N_flat	93	0.9609337	0.2886066	0.3885395	0.3526467
TR_25_T_flat	100	0.9152003	0.2607893	0.3513755	0.3122756
TR_26_N_flat	73	1.0455518	0.2992615	0.4057970	0.3749524
TR_26_T_flat	73	1.0563456	0.2802107	0.3811050	0.3461446
TR_28_N_flat	74	1.0684600	0.3037482	0.4102902	0.3843185
TR_28_T_flat	78	1.0434135	0.3119405	0.4253570	0.3821394
TR_29_N_flat	78	1.0576545	0.2960989	0.3994285	0.3679872
TR_29_T_flat	74	0.9934017	0.2565936	0.3473688	0.3140176
TR_31_N_flat	149	1.1502966	0.3134528	0.4225945	0.3387674
TR_31_T_flat	102	1.0648752	0.2142980	0.2892570	0.2305268
TR_34_N_flat	83	0.9905737	0.3448409	0.4672388	0.3975129
TR_34_T_flat	104	1.0193724	0.3041569	0.4116060	0.3527131
TR_36_N_flat	118	0.9234792	0.2532328	0.3421215	0.2774988
TR_36_T_flat	96	0.9217852	0.2324989	0.3131227	0.2620884
TR_37_N_flat	178	0.8617881	0.3020575	0.4078662	0.3289643
TR_37_T_flat	91	0.9358970	0.3241514	0.4402745	0.3745183
TR_42_N_flat	146	0.9267538	0.3207687	0.4331268	0.3480313
TR_42_T_flat	75	1.0171004	0.2827465	0.3845035	0.3421912
TR_43_N_flat	138	0.8920587	0.2171194	0.2928268	0.2416372
TR_43_T_flat	78	1.0177398	0.3101708	0.4199995	0.3688808
TR_45_N_flat	97	0.8791386	0.2165263	0.2921020	0.2378516
TR_45_T_flat	91	0.9724992	0.2457417	0.3315960	0.2758301
TR_48_N_flat	219	0.9098230	0.2809201	0.3792465	0.3032492
TR_48_T_flat	85	1.0258042	0.2762395	0.3734100	0.3330637
TR_49_N_flat	150	0.9570354	0.2192505	0.2956032	0.2484173
TR_49_T_flat	112	0.9165319	0.2062473	0.2785608	0.2235887
TR_55_N_flat	78	1.2802824	0.3535912	0.4794980	0.4056846
TR_55_T_flat	102	1.2588917	0.3323633	0.4494270	0.3967653
TR_58_N_flat	153	0.9010275	0.2261314	0.3051565	0.2464022
TR_58_T_flat	91	0.5631682	0.2317630	0.3128572	0.2718385
TR_59_N_flat	123	0.8972852	0.2746383	0.3705050	0.2960520
TR_59_T_flat	117	0.8920615	0.2158695	0.2918502	0.2426181
TR_64_N_flat	129	0.9485773	0.2940278	0.3965280	0.3163189
TR_64_T_flat	96	0.9442523	0.2228807	0.3005428	0.2523178
TR_77_N_flat	93	0.9526292	0.2949218	0.4001290	0.3296137
TR_77_T_flat	97	0.9015105	0.2400897	0.3262254	0.2708754
TR_79_N_flat	87	0.9876549	0.3047899	0.4141014	0.3664590
TR_79_T_flat	88	0.9425158	0.3149666	0.4272459	0.3599269
TR_93_N_flat	88	0.9035263	0.2307222	0.3109990	0.2599945
TR_93_T_flat	125	0.9037495	0.2198310	0.2964810	0.2492466
TR_94_N_flat	103	1.0692416	0.3792010	0.5120582	0.4150233
TR_94_T_flat	106	0.8662292	0.2004564	0.2715350	0.2298402
