Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	3301765	46684553	23263	-0.6405
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	46685307	119984738	44942	-0.5799
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	119984772	152427998	1063	0.1255
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	152428801	153559644	718	0.1988
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	153560454	157162941	1662	0.1205
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	157163330	160682940	2336	0.2
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	160683819	161747029	505	0.1219
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	161747503	189785658	18488	0.206
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	189793683	189822343	34	0.5768
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	189822431	199863445	5854	0.2255
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	199863750	208342093	5499	0.1686
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	208343215	213337661	3424	0.2025
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	213337888	222381444	6295	0.2259
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	222382514	245985489	15433	0.1921
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	1	245985608	247650984	463	0.1488
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	2	480597	2637093	717	-0.6015
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	2	2638127	2639365	2	-2.6956
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	2	2639689	49635017	29043	-0.5792
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	2	49636033	56429376	3585	0.2307
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	2	56429759	66867708	5948	-0.5669
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	2	66869997	66894566	20	0.2122
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G12_896052	2	66899862	82736934	8876	-0.5729
