Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	3301765	18719991	8591	0.2674
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	18722427	47820891	15337	0.2934
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	47822520	50384323	1407	0.3444
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	50387097	51419476	369	0.2965
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	51421337	51422712	2	-0.7115
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	51424273	52496247	451	0.3105
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	52499785	52764909	156	0.2453
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	52767702	52961310	81	-0.473
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	52963661	53103727	120	0.0823
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	53103760	57954295	3595	0.0273
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	57955018	61647430	2596	0.0755
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	61654892	62412281	538	-0.0087
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	62412747	77097603	9153	0.0705
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	77104052	78829867	942	-0.4232
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	78830587	81421910	1419	0.0571
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	81422771	82664386	859	-0.4512
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	82669372	83113796	321	0.0558
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E03_1362438	1	83114799	83471513	118	0.2264
