Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	3301765	23001322	11112	0.1291
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	23005076	29160558	2632	0.096
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	29163965	29174454	5	-0.6084
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	29179101	55425925	14278	0.1334
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	55426126	64417579	6574	0.1589
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	64419009	87578682	14209	0.1271
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	87581005	87586681	6	-0.6471
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	87587552	152235127	20333	0.128
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	152235624	152669225	221	0.36
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	152687773	154638398	1040	0.117
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	154640902	154940147	206	0.4426
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	154949612	155077709	44	0.2725
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	155090669	156709407	704	0.1203
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	156709553	158852964	1423	-0.1985
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	158861283	160055940	757	0.1268
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	160056150	160175796	65	0.3093
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	160175898	161968102	968	0.1161
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	161970464	161972719	3	0.9099
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	161973268	162280842	303	0.1459
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	1	162281755	247650984	54942	-0.2029
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	480597	82691516	48164	0.1247
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	82693973	82699704	8	-0.8939
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	82703594	148818400	30176	0.1188
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	148822351	148822528	2	-1.2834
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	148822903	182170416	20272	0.1253
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	182173428	190973478	4109	0.1051
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	190973616	190973622	2	-1.1979
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	190975234	199040204	3900	0.0963
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	199040423	239411399	24372	0.1281
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	239415788	240671904	838	-0.7189
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	2	240776486	241537572	387	0.1316
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	2170634	4722674	1466	0.1499
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	4723409	4728190	9	-0.7535
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	4733695	76932545	43017	0.1328
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	76932608	89991605	6660	0.1059
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	89992521	90015365	9	-0.6204
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	90019585	106871539	7091	0.1063
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	106872725	124366127	10135	0.1292
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	124369162	124373610	2	-1.12
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	124374950	156421310	17517	0.1281
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	156421879	156422960	2	-1.2056
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	156426365	161863896	3063	0.1349
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	161863978	167010222	2094	0.0817
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	167011513	171523548	2639	0.1321
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	171530168	171535967	5	-0.7814
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	3	171538125	197812401	13477	0.1286
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	1059384	27574271	16697	0.1263
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	27575099	46765195	10938	0.1036
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	46771488	46774047	4	-0.9494
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	46778053	58379348	4941	0.1216
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	58379456	71289950	6476	0.0905
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	71290160	121321648	28801	0.1151
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	121322757	121332964	8	-0.8078
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	121333178	124538250	1704	0.1329
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	124539196	124541780	3	-1.2833
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	124541870	137692200	6452	0.095
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	137692882	159507641	12636	0.1262
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	159510335	181635401	11973	0.1072
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	4	181635770	187842528	2895	0.1392
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	913983	17791907	10942	0.1376
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	17793103	30682102	6762	0.0946
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	30682238	83548909	27017	0.1227
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	83552505	107002255	11214	0.1014
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	107005609	109698476	1783	0.1335
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	109700365	109700533	2	-1.5558
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	109703479	115420758	3746	0.1214
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	115420940	115421165	5	-1.002
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	115423381	138685209	13660	0.1208
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	5	138685378	180934240	25972	-0.6927
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	6	1011760	17746282	11859	0.1353
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	6	17816767	18075241	155	-0.6779
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	6	18091007	61830731	22239	0.1276
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	6	61831021	68849701	3825	0.0979
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	6	68850194	101905843	18331	0.122
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	6	101906135	103543170	844	0.0655
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	6	103543769	170596889	39936	0.1289
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	7	664936	6023652	1998	0.6408
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	7	6026173	23778957	10183	0.122
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	7	23784394	23793054	16	-0.7287
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	7	23793520	31423811	5027	0.1343
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	7	31426129	31476745	48	-0.7914
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	7	31480101	46057403	9025	0.1251
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	7	46062427	46112430	31	-0.6951
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H03_1362536	7	46114898	65052476	7785	0.1239
