Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	3301765	7854775	2952	-0.1579
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	7857572	54836150	24626	-0.1884
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	54837766	55862923	822	-0.1515
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	55863730	115222495	36773	-0.2067
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	115223155	149948714	2999	-0.1904
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	149948757	155561258	2669	0.1359
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	155566213	166304699	7147	0.4183
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	166305481	175015393	5780	0.3891
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	175015661	183047506	5017	0.413
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	183049857	183139751	58	0.0586
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	183147396	193244038	6179	0.391
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	193252785	194115568	623	0.1084
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	194116267	197596342	1734	0.4009
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	197602447	197819432	127	0.1041
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	197824636	198466853	401	0.415
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	198467003	201014120	1571	0.3651
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	201014894	209946075	6061	0.4171
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	209948166	212831113	1899	0.1331
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	212841111	213304992	230	-0.2536
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	213307354	241646594	19106	0.1326
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	241646728	244008206	1418	0.3916
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	244013735	244297524	202	-0.2113
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	244304776	246012556	1000	0.4291
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	246016006	247183372	147	0.1229
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	1	247184887	247650984	293	0.39
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	480597	6415600	3481	0.1382
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	6416649	6466238	44	-0.2135
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	6466338	39416993	19739	0.1293
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	39425579	39428231	2	-1.3043
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	39429216	53989842	8858	0.1243
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	53989913	54634035	96	-0.2285
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	54634047	76144328	12504	0.1204
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	76146857	76146862	2	-1.341
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	76147845	169170086	45763	0.1202
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	169172257	169342801	127	-0.1945
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	169342807	179404674	6216	0.1296
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	179406012	179407032	2	-1.6409
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	179407140	217130351	20576	0.11
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	217137249	229440157	7833	0.1387
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	229440847	232869475	1561	0.1063
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	232871423	236959589	2830	-0.2113
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	2	236964390	241537572	2585	-0.6965
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	2170634	12224904	6013	-0.2139
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	12228785	12343043	69	-0.8236
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	12343100	23402372	6262	-0.2224
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	23406872	41283371	11389	0.1288
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	41287983	41439035	89	-0.2745
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	41439191	76545911	20412	0.1382
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	76547919	76676617	100	-0.228
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	76679236	79755982	1714	0.1257
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	79758360	95781111	6120	0.3791
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	95781594	95787783	3	-0.7935
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	95789820	111604172	8547	0.391
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	111604264	112160160	407	0.6318
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	112168062	156051591	24654	0.3959
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	156051605	156737915	364	0.1024
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	156738271	174390752	8926	0.3849
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	174390905	174793538	228	0.0768
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	174793759	192797803	9968	0.3896
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	192801056	195254342	1408	0.4446
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	3	195261944	197812401	516	0.3763
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	1059384	8704538	4347	-0.7033
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	9587686	9835445	107	0.0488
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	9835664	25477664	10939	0.1327
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	25479760	61987664	19248	0.1069
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	61988795	62013152	21	-0.6889
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	62017210	180316694	65364	0.1084
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	180318923	180493560	128	-0.7511
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	180494408	180604429	121	0.1326
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	181157671	181468394	249	-1.5229
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	181470082	181548537	74	-0.212
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	181548870	187130021	2481	0.146
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	187130536	187130788	2	-1.7158
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	4	187131015	187842528	438	0.12
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	913983	3766514	1751	0.4379
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	3768379	3768824	2	-1.4072
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	3769168	4406952	465	0.4536
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	4409055	4523820	98	0.1397
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	4528282	4628466	66	0.4425
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	4629702	18129913	8742	0.159
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	18131244	30245601	6350	0.1049
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	30245651	50828231	8680	0.1358
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	50829022	60151883	5981	-0.2121
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	60155192	60237374	38	-0.6568
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	60238269	88250763	14933	-0.2223
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	88251550	88251742	2	-2.0282
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	88254501	137684517	27573	-0.2233
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	137684536	137734756	34	-0.8104
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	137739032	144855584	3782	-0.2195
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	144855744	144915713	34	-0.743
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	144917675	151525837	4338	-0.2129
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	151526637	151647067	107	0.192
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	5	151647402	180934240	18165	-0.2136
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	6	1011760	33206065	19569	0.1358
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	6	33208047	111454068	42397	-0.223
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E05_1362478	6	111462916	111528969	43	-0.7659
