Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	3301765	19676025	9200	0.2405
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	19676420	23012491	1920	0.1343
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	23012802	70665656	27655	0.0891
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	70665794	71742286	537	0.1337
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	71742960	75726059	2136	-0.139
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	75726504	85181798	5853	0.0936
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	85182113	85794465	398	-0.1381
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	85794681	91745463	3795	-0.0358
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	91747018	94904128	1847	-0.1465
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	94904564	101339213	3921	0.0846
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	101340876	119984772	10923	-0.1486
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	149906351	162330288	6739	0.2428
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	162330958	188617958	17464	0.2885
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	188618710	191239873	1372	0.0955
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	191241139	191241215	2	-1.0219
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	191243672	195673786	2688	0.1064
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	195675499	195677918	2	-1.8635
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	1	195680112	247650984	33409	0.1108
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	2	480597	241537572	132235	0.0729
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	3	2170634	197812401	107204	-0.0168
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	4	1059384	101477758	56572	0.1051
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	4	101477936	187842528	46970	0.1492
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	913983	28535578	16525	-0.11
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	28542816	29047361	218	0.1411
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	29050456	45383300	9413	-0.1113
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	50828231	57245979	4003	-0.4322
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	57246613	57264595	5	0.3245
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	57265164	57430624	102	0.7752
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	57431552	57435051	9	0.2606
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	57435626	57637844	142	0.8141
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	57638199	58360482	510	0.3246
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	58362167	60364916	1324	-0.4372
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	60365629	60529652	66	0.3046
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	60541713	61713041	643	-0.4447
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	61715111	61730675	26	0.3696
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	61731847	61734731	6	-0.641
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	61736877	62175955	254	0.3053
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	62176223	62655942	239	-0.4178
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	62661567	63032112	263	0.358
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E10_1362528	5	63032768	63081092	25	1.0095
