Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	3301765	39557105	19517	0.0473
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	39559408	39560301	2	-1.5765
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	39561792	66786659	16904	0.0603
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	66790042	66838166	33	-0.6098
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	66843624	68664073	1269	0.0861
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	68666245	75580279	3624	0.043
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	75583982	79844400	2511	0.0844
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	79845273	82680482	1801	0.0072
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	82681547	96445912	8675	0.0801
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	96447782	179972261	32444	0.0554
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	179973253	188123049	5315	0.0779
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	188124130	191925717	2090	0.0139
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	191925882	193635073	1142	0.0798
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	193636851	200028650	3573	0.0193
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	200030997	201420557	1005	0.0724
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	201425181	201430960	2	-1.2202
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	201431864	234462930	21687	0.0659
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	234467181	234467329	2	-1.5862
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	234468867	237962489	2422	0.0518
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	237962736	237965338	3	-1.408
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	1	237968130	247650984	5904	0.044
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	2	480597	63521318	37193	-0.2339
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	2	63525232	80571647	9842	0.0595
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	2	80571789	85148451	2456	0.005
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	2	85148553	96541513	1720	0.0641
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	2	96545458	119585121	12106	-0.2339
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	2	119585555	119629141	29	-1.514
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	2	119637136	241537572	68776	-0.2238
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	2170634	3316103	593	0.0365
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	3319821	3320154	4	-0.7825
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	3320453	4651791	797	0.0327
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	4653212	18737802	8716	-0.5715
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	18825047	19225960	179	0.0417
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	19226083	19238892	12	-0.904
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	19242135	54870740	20131	0.0519
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	54873770	56224033	1117	-0.0038
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	56224299	67269899	6774	0.0658
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	67270729	68203529	559	-0.0117
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	68206780	80221391	7427	0.0705
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	80221828	86346098	3033	0.0174
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	86348959	89813753	1760	0.0667
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	89814300	97748433	2029	0.008
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	97755786	108870823	6345	0.0659
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	108873066	111179229	992	-9e-04
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	111182615	131049678	11669	0.0737
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	131051192	145452662	8112	0.054
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	145453220	162285638	8941	0.0766
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	162285905	167573194	2161	0.0018
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	3	167573842	197812401	15874	0.0672
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	1059384	16615399	9567	0.0638
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	16618660	21170875	2926	0.0275
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	21171799	27288588	4019	0.0734
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	27288651	42231951	9020	0.0395
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	42231984	45729265	1669	-0.0202
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	45735385	57633854	4994	0.0608
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	57634146	66371123	4754	0.0121
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	66371413	73576069	3365	0.0486
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	73579208	74109360	337	0.1502
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	74109484	79570666	3423	0.0594
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	79570787	81879884	1331	8e-04
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	81882039	96181490	8264	0.0517
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	96182505	99031533	1497	-0.0129
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	99031559	115530128	9460	0.0499
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	115530185	117108856	799	-0.0229
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	117112710	129461701	6770	0.0584
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	129462029	137107936	3564	0.0158
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	137108689	160119089	13315	0.0491
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	160119138	167021796	3796	0.0094
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	167023604	180107788	7065	0.0443
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	4	180107943	187842528	3686	0.0728
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	913983	2211880	349	0.0456
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	2212179	4316194	1795	0.0065
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	4318546	18329780	9133	0.0652
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	18329929	29904327	5996	0.0031
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	29907161	143802328	60681	0.0605
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	143804101	143806433	5	-1.2916
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	143807853	161652175	11726	0.0602
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	161652284	167946704	3924	0.0116
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	167947381	176906768	5774	0.0634
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	176909188	180652970	1783	0.019
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	5	180653093	180934240	69	0.1399
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	1011760	15819358	10545	0.0807
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	15820641	22110663	4376	0.0515
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	22112143	23485148	1068	0.0926
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	23486894	23487339	2	-1.3286
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	23487350	47490827	12309	0.0626
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	47491533	51275545	2008	0.0242
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	51276199	54745763	2394	0.0792
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	54746091	80346643	11808	0.0421
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	80347520	82157125	1093	0.0921
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	82162216	105038138	12498	0.0405
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	105038968	111597905	3997	0.0602
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	111598259	114037360	1628	0.1151
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	114039204	166821108	32493	0.0635
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	166821502	166821745	2	-1.3511
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	6	166824360	170596889	1035	0.069
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	7	664936	7820793	2900	0.6053
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	7	7820942	7827987	19	0.0104
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	7	7828079	51759659	27530	0.6158
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	7	51759983	75563464	7934	0.5459
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	7	75563771	85773770	5712	0.6273
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	7	85774807	93431363	3389	0.5783
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	7	93431915	96832272	2099	0.6439
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F06_955532	7	96834282	131633134	17920	0.596
