Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	3301765	13660475	5534	-0.0376
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	13661761	13663763	5	-1.1824
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	13663796	45274797	17207	-0.0257
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	45283745	47089593	736	0.4154
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	47094941	49645545	1544	0.0108
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	49648823	49655065	2	-0.9558
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	49659290	53066185	1492	0.002
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	53066295	58141994	3789	-0.0379
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	58142842	62289956	2879	-0.0072
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	62292660	73275252	6949	0.0335
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	73275386	83290261	5934	-0.0022
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	83293316	86093151	1899	0.046
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	86094378	150162143	20402	0.0098
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	150163957	160274182	5396	-0.0197
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	160274733	174695229	9974	0.0085
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	174700992	176903700	1063	-0.0429
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	176903961	181773631	3255	0.0144
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	181773705	186962054	3318	-0.6192
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	186964423	186964632	3	-2.9186
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	186964960	189801575	1658	-0.6443
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	189807087	189816853	14	0.1159
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	189819270	199653960	5748	-0.6263
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	199654405	208307883	5571	-0.0104
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	208307904	208308365	5	-0.9127
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	208310766	223446392	10309	0.0105
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	223473497	224267081	425	-0.6578
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	224267900	224689379	303	0.0159
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	224689702	228861767	2123	-0.6247
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	228862392	230901276	1571	-0.6957
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	230901293	231680391	383	-0.6226
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	231680425	239101104	5521	-0.0016
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	239104595	239105980	2	-1.3761
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	1	239112279	247650984	5003	-0.0088
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	480597	11751343	7114	-0.0273
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	11755438	13172432	1051	0.0512
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	13175736	45949264	19344	-0.0104
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	45949823	45966726	17	-0.6918
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	45974025	58591335	6967	0.0037
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	58591353	60636123	1443	-0.0538
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	60636698	129462337	32633	-0.0079
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	129463959	129474142	10	-0.6969
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	129480331	142633883	6626	-0.0197
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	142634297	146204270	1971	0.0186
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	146204291	149056422	1391	-0.0265
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	149056448	170378639	12771	0.0232
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	170379550	170380020	5	-0.84
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	170385617	210368802	21911	0.0122
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	210369417	223758808	8507	-0.001
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	223759376	223760359	5	-1.0209
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	223764616	228434062	2967	0.0012
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_F03_955598	2	228434990	230904864	1395	-0.0477
