Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	3301765	4543808	827	0.1647
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	4544044	5135834	471	-0.1286
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	5137891	10445075	2881	0.1524
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	10446134	11531747	562	-0.1515
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	11538613	11892155	192	0.114
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	11895645	46955890	18489	-0.1343
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	46955948	51412493	2309	-0.0678
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	51414046	55088323	2083	-0.1222
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	55088337	62186114	5291	-0.0753
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	62190512	62190838	2	-1.5254
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	62196120	67215319	3585	-0.0638
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	67219433	67429213	156	0.1926
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	67438134	87817868	12202	-0.0547
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	87826864	88512684	501	0.87
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	88513764	89757514	733	0.6642
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	89757644	90996914	784	0.8542
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	91006936	91321022	182	0.988
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	91327260	91359019	42	0.7465
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	91364506	92311131	529	1.0159
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	92314467	92370867	28	0.8203
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	92374918	92423851	25	0.4973
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	92424980	92474214	27	0.853
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	92474421	92481581	10	0.4323
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	92481694	92570037	35	0.8659
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	92571348	107822745	8878	-0.0627
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	107827250	108824363	469	0.844
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	108827892	108829252	2	-1.5319
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	108830979	108962041	73	0.8181
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	108962290	108966416	3	1.7395
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	108966674	110992718	1141	0.8111
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	110995082	116295203	3513	0.9757
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	116295586	116579243	172	1.1521
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	116580889	117275774	465	0.6374
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A03_1367374	1	117278758	149907993	1582	0.454
