Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	3301765	15034225	6638	-0.574
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	15035860	15036048	2	-2.4901
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	15039744	36615476	11179	-0.5657
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	36616153	55025942	9877	-0.5369
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	55030071	55033276	7	-1.5023
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	55034003	56170134	858	-0.5528
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	56170583	56170722	2	-2.6539
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	56170733	84709700	18322	-0.5355
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	84709901	84721583	3	-2.4228
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	84721611	119984738	21246	-0.54
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	119984772	156473939	3069	0.222
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	1	156476088	247650984	58703	0.2509
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	480597	143766666	75699	-0.5043
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	143766746	180890702	22066	-0.4805
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	180891088	180891329	2	-3.1034
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	180891461	207497717	13654	-0.4806
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	207497744	207504570	11	0.27
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	207506811	217918809	6435	-0.483
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	217919028	229421935	7260	-0.4955
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	229422423	229424055	2	-2.5632
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	229425070	236208873	3853	-0.4993
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	236210757	236211025	2	-3.4499
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	236214274	237768971	1095	-0.5046
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	237769196	237771799	2	-2.0994
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	237771836	239186421	673	-0.5115
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	239187328	239187391	2	-2.9623
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	2	239187410	241537572	1346	-0.5446
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	2170634	10928956	5158	-0.5589
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	10931199	10931225	2	-2.7544
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	10932470	12971493	1369	-0.5598
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	12976763	14541687	1040	1.0369
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	14542744	15682941	730	1.1782
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	15691436	20977472	3031	-0.5351
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	20979383	21334611	75	1.0469
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	21334691	21690585	271	1.1897
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	21690594	21740672	38	1.0408
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	22176672	26606113	2734	-0.5281
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	26609793	26721600	73	1.4031
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	26722068	26888788	86	1.1515
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	26889500	27444096	249	1.3681
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	27453675	33139166	3785	-0.5422
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	33142615	34172402	534	1.2052
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	34182321	35086277	550	1.4371
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	35094027	37629888	1582	-0.5446
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	37632412	40130141	1590	1.1726
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	40132318	48162144	4332	-0.55
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	48163709	48649780	199	1.2315
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	48658234	53619125	2095	-0.5421
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	53619843	55859395	1802	1.1095
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	55859512	55860282	5	-0.0174
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	55860475	57011282	722	1.119
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	57011826	58335257	692	1.2585
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	58336746	58337449	2	-0.3572
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	58342278	58478981	74	1.2663
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	58481572	58802701	204	1.4477
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	58804036	63539937	2480	-0.5419
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	63540384	63944109	260	1.3832
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	63945162	67727260	2920	-0.5508
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	67728559	68666567	568	1.1935
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	68669736	71167904	1816	1.2838
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	71170643	71758092	372	1.2197
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	71759415	71795491	24	-0.5186
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	71800014	73577696	1337	1.1928
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	73580397	74293884	541	1.4326
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	74294653	76310205	777	1.3093
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	76313267	80408363	2320	-0.5727
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	80412097	80412297	3	0.8807
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	80417331	81058846	339	1.4791
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	81059281	81506743	285	1.108
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	81510048	82738588	670	1.2304
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	82740500	82740695	2	-0.5106
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	82742196	84718176	861	1.1917
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	84718892	85069903	213	-0.5567
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	85075303	85403814	124	1.1712
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	85408648	86267678	395	1.3467
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	86272595	86272950	2	-0.3678
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	86273663	86912542	308	1.3497
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	86913610	87459631	310	1.1562
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	87474097	89017438	722	-0.5636
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	89051244	90085716	546	1.25
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	90087153	94708195	387	-0.5653
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	94715687	94728893	7	0.815
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	94739539	94855854	58	-0.5208
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	94863754	94884853	19	1.134
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	94892196	188410698	50747	-0.5318
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	188411191	188414322	3	-2.5825
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	3	188414540	197812401	4744	-0.5439
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	4	1059384	48067890	28414	0.6093
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	4	51832470	53069100	701	-0.2384
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	4	53071632	53082898	7	0.6208
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	4	53083661	57641958	3107	-0.2218
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	4	57642009	66702782	4920	-0.2676
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	4	66719724	187842528	66474	-0.2214
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	914118	17153509	10717	0.2295
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	17154536	30971853	7199	0.1955
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	30971986	31377016	379	0.2771
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	31379026	31633244	199	-0.1562
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	31641161	45383300	7688	0.2449
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	50828231	107653774	30314	0.0636
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	107654548	161534151	33152	0.077
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	161537088	175417035	9213	0.0599
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	5	175419316	180934240	2398	0.0229
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	1011760	25444744	17364	0.2625
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	25446080	37519750	4548	0.2221
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	37523740	40007552	1789	0.2667
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	40012620	40014615	4	-0.6511
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	40018009	65389388	12315	0.2522
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	65390396	68212889	1719	0.2047
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	68217397	104431489	20086	0.2527
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	104431715	159521719	33761	0.2692
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_F05_895862	6	159521923	170596889	5719	0.2411
