Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	3301765	15007252	6621	0.1679
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	15009363	15105161	77	-0.5515
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	15108761	23519471	4727	0.1698
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	23521550	29246042	2374	0.1386
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	29246592	47441525	9873	0.1819
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	47441932	50757541	1863	0.237
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	50767700	55687573	2781	0.191
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	55687690	76266679	13608	0.2507
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	76269846	96827698	12658	-0.5919
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	96831379	108806685	6698	0.2403
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	108807336	114857128	3697	0.2141
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	114857263	150058787	3340	0.2485
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	150061347	157131453	3342	0.1609
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	157133019	194171115	24137	0.2313
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	194174197	194202805	14	-0.4479
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	194203092	200951234	3750	0.2397
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	200952257	206678633	3639	0.1841
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	206678859	240123720	22528	0.2291
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	240132064	240259724	120	-0.507
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	1	240261557	247650984	4145	0.2179
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	2	480597	9274141	5421	0.1674
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	2	9274853	9276528	2	1.2331
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	2	9277205	9808346	366	0.1689
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	2	9809447	9810242	3	-1.3175
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A12_1367320	2	9813820	23826583	9486	0.1819
