Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DLP_REDO_FROM_GLIAS_D12	1	3301765	48279401	24307	0.0288
DLP_REDO_FROM_GLIAS_D12	1	48292644	48323149	12	-0.5106
DLP_REDO_FROM_GLIAS_D12	1	48327696	72880176	15646	0.0128
DLP_REDO_FROM_GLIAS_D12	1	72884998	86220891	8108	-0.6157
DLP_REDO_FROM_GLIAS_D12	1	86223417	168908761	31998	0.0107
DLP_REDO_FROM_GLIAS_D12	1	168908866	170134591	929	-0.0507
DLP_REDO_FROM_GLIAS_D12	1	170134693	186881904	10339	0.011
DLP_REDO_FROM_GLIAS_D12	1	186882025	196662072	5855	-0.0237
DLP_REDO_FROM_GLIAS_D12	1	196663226	247650984	32866	0.0082
DLP_REDO_FROM_GLIAS_D12	2	480597	76795366	45218	0.0101
DLP_REDO_FROM_GLIAS_D12	2	76795648	76804049	2	-1.5217
DLP_REDO_FROM_GLIAS_D12	2	76807291	111215173	13980	0.0075
DLP_REDO_FROM_GLIAS_D12	2	111639145	111717890	66	-0.8954
DLP_REDO_FROM_GLIAS_D12	2	111720547	186272920	41262	0.0021
DLP_REDO_FROM_GLIAS_D12	2	186273303	187462166	582	0.2014
DLP_REDO_FROM_GLIAS_D12	2	187462460	192502493	2743	-0.0031
DLP_REDO_FROM_GLIAS_D12	2	192511057	192596730	16	-0.9284
DLP_REDO_FROM_GLIAS_D12	2	192607380	241537572	28570	0.0041
DLP_REDO_FROM_GLIAS_D12	3	2170634	3604443	893	-0.022
DLP_REDO_FROM_GLIAS_D12	3	3604591	16138847	7707	0.0198
DLP_REDO_FROM_GLIAS_D12	3	16141201	24818804	4720	-0.0075
DLP_REDO_FROM_GLIAS_D12	3	24822754	55525478	17761	0.0186
DLP_REDO_FROM_GLIAS_D12	3	55527529	55540792	11	-0.4917
DLP_REDO_FROM_GLIAS_D12	3	55543852	64191353	4917	0.0226
DLP_REDO_FROM_GLIAS_D12	3	64191553	64191984	2	-1.7648
DLP_REDO_FROM_GLIAS_D12	3	64192170	73736906	6971	0.0102
DLP_REDO_FROM_GLIAS_D12	3	73736993	197812401	64375	-0.0012
DLP_REDO_FROM_GLIAS_D12	4	1059384	8109390	4051	0.0301
DLP_REDO_FROM_GLIAS_D12	4	8110523	8112798	2	-1.2199
DLP_REDO_FROM_GLIAS_D12	4	8113433	27864061	12867	0.0142
DLP_REDO_FROM_GLIAS_D12	4	27865601	178933556	82424	-0.0026
DLP_REDO_FROM_GLIAS_D12	4	178934739	187842528	4342	0.0208
DLP_REDO_FROM_GLIAS_D12	5	913983	17950116	11067	0.0163
DLP_REDO_FROM_GLIAS_D12	5	17954112	97443695	41025	-0.0015
DLP_REDO_FROM_GLIAS_D12	5	97445669	107326733	4158	-0.0334
DLP_REDO_FROM_GLIAS_D12	5	107327036	131997067	14810	-0.0043
DLP_REDO_FROM_GLIAS_D12	5	131999457	180934240	30261	0.0109
DLP_REDO_FROM_GLIAS_D12	6	1011760	61524627	34213	0.3963
DLP_REDO_FROM_GLIAS_D12	6	61524628	135919478	42457	-8e-04
DLP_REDO_FROM_GLIAS_D12	6	135920439	135921170	4	-1.081
DLP_REDO_FROM_GLIAS_D12	6	135924473	170596889	20666	0.0103
DLP_REDO_FROM_GLIAS_D12	7	664936	7416704	2606	0.2295
DLP_REDO_FROM_GLIAS_D12	7	7418321	7813566	283	0.6305
DLP_REDO_FROM_GLIAS_D12	7	7817038	46184659	23561	0.2063
DLP_REDO_FROM_GLIAS_D12	7	46185403	55780513	6838	-0.0061
DLP_REDO_FROM_GLIAS_D12	7	55782725	78227222	6163	0.0269
DLP_REDO_FROM_GLIAS_D12	7	78230294	100698977	11804	-0.0028
DLP_REDO_FROM_GLIAS_D12	7	100699412	158592540	30868	-0.2486
DLP_REDO_FROM_GLIAS_D12	8	667625	38808170	22637	0.0257
DLP_REDO_FROM_GLIAS_D12	8	38808259	55627676	7524	-4e-04
DLP_REDO_FROM_GLIAS_D12	8	55627906	56133754	177	0.6309
DLP_REDO_FROM_GLIAS_D12	8	56186628	58440975	1469	-0.0114
DLP_REDO_FROM_GLIAS_D12	8	58443887	59792319	818	0.6676
DLP_REDO_FROM_GLIAS_D12	8	59802172	60833077	645	-0.0271
DLP_REDO_FROM_GLIAS_D12	8	60843407	60873315	27	0.734
DLP_REDO_FROM_GLIAS_D12	8	60873427	60873440	2	-0.9251
DLP_REDO_FROM_GLIAS_D12	8	60875585	61696463	566	0.6345
DLP_REDO_FROM_GLIAS_D12	8	61697748	63631437	1178	0.4023
DLP_REDO_FROM_GLIAS_D12	8	63634616	64977006	662	-0.0101
DLP_REDO_FROM_GLIAS_D12	8	64979996	65323506	210	0.3528
DLP_REDO_FROM_GLIAS_D12	8	65325223	65440255	61	0.6742
DLP_REDO_FROM_GLIAS_D12	8	65442452	65551073	68	1.1452
DLP_REDO_FROM_GLIAS_D12	8	65551209	65731126	82	1.4345
DLP_REDO_FROM_GLIAS_D12	8	65732478	65884824	61	1.0558
DLP_REDO_FROM_GLIAS_D12	8	65888200	66038951	76	0.8247
DLP_REDO_FROM_GLIAS_D12	8	66041166	66314837	191	0.3352
DLP_REDO_FROM_GLIAS_D12	8	66314987	66384504	26	0.7561
DLP_REDO_FROM_GLIAS_D12	8	66384946	66447547	35	0.3938
DLP_REDO_FROM_GLIAS_D12	8	66448490	66580286	73	0.8453
DLP_REDO_FROM_GLIAS_D12	8	66583074	66868007	110	0.4053
DLP_REDO_FROM_GLIAS_D12	8	66870149	66968442	36	0.991
DLP_REDO_FROM_GLIAS_D12	8	66976569	67101626	47	0.4682
DLP_REDO_FROM_GLIAS_D12	8	67102986	67524170	134	0.7087
DLP_REDO_FROM_GLIAS_D12	8	67524865	67550603	20	0.3196
DLP_REDO_FROM_GLIAS_D12	8	67553445	67705034	111	0.6268
DLP_REDO_FROM_GLIAS_D12	8	67706335	67729939	17	1.0584
DLP_REDO_FROM_GLIAS_D12	8	67732562	67762681	37	0.6738
DLP_REDO_FROM_GLIAS_D12	8	67764333	67850078	74	0.8834
