Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	3301765	4971809	1215	0.0536
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	4979033	4979320	2	-1.5206
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	4982142	9429347	2538	0.0636
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	9429913	9430280	2	-1.6112
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	9434407	66242173	32228	0.0565
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	66246593	66489908	191	0.3917
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	66490195	79381551	7422	0.0348
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	79382155	81977111	1670	-0.3979
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	81984098	84741843	1737	0.0524
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	84744346	119975336	21249	-0.3746
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	119978092	187264498	23343	0.0483
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	187264863	196663226	5580	0.0201
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	196667305	209598002	8218	0.0519
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	209601489	209662983	82	-0.3294
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	209664338	211728505	1436	0.052
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	211732242	236472859	15913	-0.3804
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	1	236478240	247650984	7183	0.0277
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	480597	9949593	5883	0.028
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	9954768	10020702	43	0.363
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	10023201	36949633	16308	0.0373
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	36951112	37031531	40	-0.3594
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	37033071	68416493	18202	0.037
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	68420607	68420689	2	-1.9167
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	68422166	136795112	31498	0.0368
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	136798122	142010949	2854	-0.006
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	142011456	214784699	41136	0.0268
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	214787961	215763237	626	-0.3968
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	215771796	223847621	5238	0.0369
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	223848309	224066166	168	0.3459
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	224067432	238138379	8577	0.0326
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	238140204	238213173	35	-0.3632
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	2	238213649	241537572	1793	0.0408
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	3	2170634	4405153	1177	-0.0151
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	3	4405253	8427829	2363	0.041
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	3	8428098	8476573	44	-0.8726
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	3	8479764	76458477	40646	0.0401
STOPE_p_TCGAb3_58_59_60_61_62_N_GenomeWideSNP_6_B02_1388028	3	76460673	98216869	9241	0.0111
