Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	3301765	5843898	1809	-0.0482
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	5844509	12588404	3462	0
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	12588854	18771181	3389	-0.0461
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	18771483	55454817	19426	-0.0099
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	55456347	65117816	7196	-0.0296
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	65117997	162251807	39691	-0.0041
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	162252702	178494456	10876	-0.0206
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	178494978	197995760	11935	1e-04
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	197996734	199397510	888	0.0556
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	199399053	201420557	1338	-0.0066
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	201425181	201430960	2	-1.4214
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	201431864	204814077	2208	0.0042
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	204818346	205721973	649	0.315
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	1	205728219	247650984	27185	-0.0104
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	480597	8108803	4639	-0.0404
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	8110227	114953359	56340	-0.0174
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	114953462	126053224	5498	-0.0366
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	126060245	126062943	6	-0.7918
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	126063838	128293490	1240	-0.0232
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	128295081	128295922	2	-1.648
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	128297452	141654626	6818	-0.0324
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	141654713	226897664	49228	-0.0058
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	2	226898393	241537572	8622	-0.0266
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	3	2170634	53820460	29747	-0.0071
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	3	53824514	67024968	8508	-0.0383
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	3	67025434	163880709	51685	-0.0083
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F11_895970	3	163887032	163887310	2	-1.3527
