Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	3301765	8287301	3203	0.0259
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	8295407	8328511	14	0.495
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	8333158	41304640	17159	0.0257
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	41308682	41309583	2	-1.4362
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	41317411	56276395	8334	0.0211
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	56280415	107297272	31703	0.0076
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	107297298	149907993	7825	0.0226
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	149909846	152136658	915	0.2974
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	152137200	152263498	75	0.0247
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	152273343	192170104	25115	0.305
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	192172707	192226683	21	-0.2833
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	192227262	192450875	148	0.2946
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	192450930	192451498	2	-1.0069
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	192451767	215216836	14718	0.3079
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	215217864	219428616	2848	7e-04
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	219431111	224291042	3008	0.3031
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	224292697	235658175	7220	0.01
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	235658354	236614160	590	0.2911
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	236614250	236775067	183	0.0501
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	1	236775182	247650984	6895	0.3066
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	2	480597	241537572	132317	0.0091
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	3	2170634	176805175	96228	0.0057
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	3	176805212	197812401	11038	-0.3768
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	4	1059384	27875899	16908	0.0163
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_C02_1367238	4	27877650	142442561	62310	-8e-04
