Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	1	3301765	60989953	32193	0.0151
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	1	60991625	171940382	49787	-0.0064
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	1	171940428	171944284	5	-1.261
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	1	171946041	186405225	8882	-0.0052
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	1	186406620	200888646	8476	-0.0348
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	1	200894147	245445935	29525	-0.0029
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	1	245448087	247650984	874	0.0148
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	480597	170366644	91141	-0.0121
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	170367000	170420462	56	0.5049
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	170421106	170621892	178	-0.0786
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	170622369	178178834	4710	-0.0031
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	178180875	195411587	8401	-0.0321
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	195412103	195415512	5	-1.024
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	195425093	211508803	9275	-0.0152
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	211509952	215521774	2382	-0.0655
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	215523181	218276470	1902	-0.0139
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	218279507	227716919	5971	-0.0656
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	2	227723204	241537572	8082	-0.4109
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	3	2170634	74368189	43340	0.0089
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	3	74371164	112373961	17868	-0.0182
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	3	112374566	122750302	6107	0.0021
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H11_1362514	3	122752885	130378038	4332	0.0361
