Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	3301765	7431364	2693	-0.3171
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	7431559	9593792	1123	-0.1908
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	9594139	10082945	180	0.0579
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	10087696	11900776	943	0.1813
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	11909975	13546493	509	0.4843
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	13546978	14298782	602	0.3739
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	14299029	14496017	165	0.4592
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	14496420	14496971	3	-1.0862
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	14499162	16018760	954	0.4304
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	16063907	17328912	410	0.0822
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	17329133	22703706	3329	0.1971
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	22704913	22811138	75	0.1067
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	22811268	24098726	642	-0.0039
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	24105012	24360056	181	-0.3559
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	24363312	30640385	3043	-0.1675
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	30641573	30818501	30	-0.3214
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	30818692	33606603	1303	-0.0795
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	33607231	36032086	1397	0.1123
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	36033741	38898435	1664	0.2417
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	38898669	43616188	2631	0.0774
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	43616241	45448171	956	-0.0431
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	45449334	49814608	2260	-0.1484
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	49820872	99243624	30907	-0.2562
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	99244697	102154265	1942	-0.1358
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	102161854	106276333	1837	-0.2526
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	106277076	113426775	4408	-0.1191
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	113426795	116818034	2201	-0.2601
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	116818079	118486443	988	-0.0824
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	118486460	118740573	137	0.0253
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	118741810	119737785	632	0.2243
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	119737931	119979137	136	0.6842
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	1	119979978	247650984	61797	0.1454
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	480597	1913957	191	0.5371
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	1914588	2518817	409	0.7284
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	2520805	4266939	1219	0.548
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	4270136	4597362	229	0.2003
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	4602182	4947117	279	0.5731
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	4947443	5647533	490	0.2969
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	5650877	8906283	2398	0.163
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	8910250	9314576	247	-0.3097
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	9317466	9346065	26	0.1608
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	9346940	11944600	1768	-0.3102
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	11944799	15456079	2348	-0.2454
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	15456992	15800824	252	-0.3402
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	15801177	16378317	357	0.1912
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	16383031	16417226	30	0.6664
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	16417253	16547450	129	0.4606
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	16548511	16613477	42	0.6854
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	16614150	17173740	395	0.3666
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	17174544	17270853	74	0.1988
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	17272242	17488724	137	-0.1949
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	17500399	17538522	20	0.3079
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	17540546	17556932	9	-0.2199
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	17559088	17578440	15	0.3359
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	17583727	18952483	1009	-0.2378
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	18953006	19000803	34	0.2379
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	19001888	20963477	1411	-0.2734
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	20963843	21006131	28	0.139
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	21081560	23537152	1558	-0.2604
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	23537173	23606275	64	0.1543
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	23606401	25894888	1044	-0.2704
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	25902458	27469167	702	0.1279
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	27481099	28017658	224	0.4192
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	28018700	28021813	3	-1.4175
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	28026626	28608235	374	0.4692
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	28610271	29183452	203	0.1245
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	29184539	29630195	443	-0.2661
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	29632134	33672387	2124	0.1687
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	33672492	34177389	392	0.0724
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	34178029	50159644	9505	0.1714
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	50160004	50636524	365	0.0556
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	50965967	52737762	807	0.1796
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	52741891	63539349	5940	-0.1009
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	63539579	70419177	4315	-0.1682
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	70420668	70795460	319	-0.3023
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	70797279	76829743	3292	-0.1761
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	76830057	83973347	3702	-0.1309
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	83973593	97750798	2648	-0.2554
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	97751206	98018949	130	-0.1548
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	98019669	98062413	20	-0.0461
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	98064932	99126371	590	0.1264
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	99127304	100506259	823	-0.0078
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	100510228	101235288	502	-0.1261
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	101242679	102207514	569	-0.0035
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	102207741	107991638	3612	-0.1338
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	107991646	115957839	3661	-0.0538
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	115967339	120280437	2252	-0.1451
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	120283185	137527965	8764	-0.2031
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	137529172	138720864	269	-0.1335
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	138724109	166505116	16134	-0.0578
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	166506187	167473880	517	0.0456
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	167474235	170848152	2288	-0.059
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	170850082	176852190	3767	-0.1042
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	176852572	181055611	2633	-0.0192
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	181070771	181955053	520	0.3094
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	181955374	186399845	1949	0.059
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	186400213	188481181	916	-0.0455
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	188490785	192787462	2451	0.0833
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	192792142	196783358	1594	0.0097
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	196788673	212827752	9289	-0.0194
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	212829275	230380568	11029	-0.0751
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	230380636	230550298	104	0.0015
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	230550793	240254198	5827	-0.1228
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	2	240254477	241537572	629	-0.5176
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	2170634	7494952	2782	0.0394
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	7495085	7707732	207	-0.069
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	7711347	7711543	2	-1.8643
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	7711832	10308287	1671	-0.089
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	10311163	14593541	2963	-0.0178
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	14593588	36650252	13089	0.0244
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	36651269	59292776	12550	-6e-04
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	59295747	108593980	26143	0.0343
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	3	108594657	197812401	47958	0.0125
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	1059384	10652971	5133	0.0478
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	10655256	36333311	16745	0.0819
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	36333677	37759277	1028	0.0385
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	37759821	37763304	4	1.3291
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	37763344	47049189	4922	0.0686
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	47055441	51837099	600	0.183
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	51837853	52141824	176	0.3382
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	52144257	52726203	295	0.4831
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	52726340	54502617	1241	0.658
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	54502821	54539495	22	1.0816
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	54541595	55110001	539	1.3931
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	55110284	56245993	619	1.5033
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	56246196	56561086	175	1.3415
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	56561229	57834508	888	1.1707
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	57863045	60372443	1411	0.9709
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	60372610	62320730	1069	0.8011
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	62324183	62371884	21	1.0346
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	62376628	64287409	822	-0.2926
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	64290292	65308603	611	-0.2502
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	65308750	67907129	1577	-0.0656
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	67909825	75009564	3323	-0.2307
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	75009628	85806313	6651	-0.3646
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	85806878	86229932	268	0.1198
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	86234742	86848541	293	-0.2365
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	86849309	86850211	2	-2.3319
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	86853536	88885566	1232	-0.2124
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	88889935	143147797	30028	-0.3612
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	143149694	143160125	3	-2.0963
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	143161169	169897628	14852	-0.3573
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	169897959	182384133	6916	-0.3096
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	4	182392200	187842528	2243	-0.3403
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	913983	1288579	59	0.3652
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	1299214	1987556	134	-0.6189
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	1992172	2768388	682	0.3369
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	2770237	2784475	22	0.8819
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	2787715	3167342	319	0.3478
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	3170703	6043531	2413	-0.6238
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	6044957	6091281	38	0.3792
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	6093588	7148262	887	-0.6186
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	7163750	7708824	312	0.354
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	7711511	7758848	36	-0.5336
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	7758955	7924929	119	0.3349
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	7930588	7957801	40	-0.6403
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	7959127	7989558	28	0.2741
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	7992022	8080936	80	-0.5527
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	8096321	8109306	13	0.3858
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	8123381	10299815	1729	-0.6005
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	10300399	10332452	22	0.3915
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	10337986	11544486	752	-0.6052
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	11548262	11611426	52	0.3578
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	11614447	11640927	24	-0.7029
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	11641277	11646438	4	0.563
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	11648152	11892665	182	-0.5621
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	11893804	13237072	467	0.3213
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	13238430	15334405	1564	0.2499
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	15334694	16629706	442	0.3293
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	16632271	23361904	3337	-0.0839
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	23364267	23442679	36	0.4454
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	23444309	23446474	4	-0.3185
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	23449603	23591346	83	0.3515
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E03_1361576	5	23595192	24195136	357	-0.0365
