Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	3301765	23545302	11419	0.0299
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	23547245	23930125	147	-0.3831
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	23961694	24226054	122	0.0886
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	24226345	55378124	16321	0.0257
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	55378137	119984772	40185	0.064
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	149906351	168089536	11137	0.3313
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	168091284	168286459	102	0.5638
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	168286535	186117475	11363	0.3391
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	186118412	199057638	7536	0.3693
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	199058451	201632881	1717	0.3368
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	201634599	205590135	2603	0.2931
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	205590423	225961638	13299	0.3461
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	225966968	226118705	83	0.5523
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	1	226127481	247650984	13856	0.3428
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	2	480597	241537572	132242	0.052
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	3	2170634	15897402	8413	0.0418
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	3	15900031	36126254	11952	0.0697
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	3	36126559	69849727	19828	0.047
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	3	69850216	70031739	145	0.3594
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	3	70032446	197812401	66871	0.0616
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	4	1059384	10286087	4851	0.0361
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	4	10288250	47345272	23091	0.0679
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	4	47345486	47502529	112	0.3399
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	4	47502809	64672294	7817	0.0672
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	4	64672798	64781055	72	0.3951
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	4	64781220	187842528	67609	0.0714
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	5	913983	39315347	22946	0.0676
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	5	39316320	39439204	86	0.3974
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	5	39441791	101256755	30257	0.067
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	5	101259615	101260403	2	-2.1215
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	5	101261756	171785877	43053	0.0604
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	5	171791134	180934240	4839	0.0318
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	1011760	5240959	3062	0.0556
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	5245041	7911469	2077	-0.064
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	7913313	14126191	4326	0.0512
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	14127919	15002127	680	0.3445
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	15002747	16758908	1128	0.0428
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	16771384	17238418	303	0.3572
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	17238581	21046087	2640	0.056
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	21055257	21916986	505	0.3676
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	21917117	33008982	4743	0.0582
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	33010810	34221749	674	0.2945
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	34229328	39083142	2873	0.0294
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	39083663	42714432	2498	-0.0616
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	42716578	43669326	443	-0.0043
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	43670899	47425265	2300	0.0426
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	47426266	48632572	684	-0.0514
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	48633296	49593272	442	0.0592
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	49597675	50497391	521	-0.0497
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	50500086	52642487	1349	0.0584
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	52642749	53294542	439	0.1522
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	53294749	53426778	81	0.0366
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	53427193	53763011	257	-0.0609
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	53763766	54784439	695	0.0834
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	54784481	55168936	214	-0.0556
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	55169703	55440717	180	0.0984
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	55441229	61530738	1054	-0.0427
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	61596503	63147591	710	0.3807
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	63148120	154957394	53746	-0.3407
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	154958628	155066324	59	0.054
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	6	155066706	170596889	8480	-0.3519
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	7	664936	55665013	33214	0.0598
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	7	55666112	78196932	6160	0.0304
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	7	78199590	98015139	10803	0.0723
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	7	98015259	103072540	1848	-6e-04
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	7	103073638	158592540	30018	0.0563
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	8	667625	144182542	82245	0.0595
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	9	789794	124061051	61325	-0.3405
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	9	124061954	138044505	7182	-0.3794
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	10	366509	10869039	7394	0.0606
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	10	10869767	11263905	426	0.3823
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	10	11264250	68646098	32762	0.0592
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D01_1464532	10	68646144	73435596	2945	0.0128
