Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	3301765	195850741	96688	-0.0135
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	195851037	195851207	2	-1.8671
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	195851341	225576514	19212	-0.0121
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	225577389	225580526	3	-1.2093
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	225588260	228667018	1515	-0.0056
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	228671781	228671795	2	-1.146
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	228672619	238416004	7034	-0.0153
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	238418619	238419465	5	-0.9524
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	1	238420400	247650984	5544	-0.0256
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	2	480597	241537572	132327	-0.0169
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	3	2170634	2961667	291	-0.0215
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	3	2961691	2966058	3	-1.1738
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	3	2966663	178025213	96558	-0.0166
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	3	178025700	178026782	2	-1.3473
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	3	178027680	197812401	10445	-0.0177
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	4	1059384	39694006	24111	-0.0155
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_F01_896564	4	39697404	44689297	2578	-0.2405
