Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	1	3301765	4215112	500	0.2632
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	1	4215231	14828329	5959	-0.5745
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	1	14830240	14831024	2	-2.7652
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	1	14841064	18016470	1565	-0.5861
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	1	18016531	18016612	2	-2.9517
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	1	18016794	33219544	7867	-0.5829
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	1	33220797	247650984	113997	0.2392
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	2	480597	186080657	100295	-0.0519
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	2	186080897	186164045	41	0.4615
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	2	186168093	241537572	31927	-0.0501
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	3	2170634	74066147	43213	0.3119
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	3	74066164	181578547	55559	0.2966
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	3	181582101	197812401	8472	0.3181
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	1059384	3642951	1033	0.1473
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	3644345	11057693	4430	0.1826
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	11058189	54625737	24731	0.1434
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	54628012	54684784	94	0.6406
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	54686434	57635142	1910	0.1648
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	57635160	57635246	2	-1.1744
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	57639758	59139831	813	0.1512
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	59139875	135281576	41755	0.0999
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	4	135285754	187842528	28826	0.1506
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	913983	1299214	60	-0.0747
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	1299910	1309352	4	-1.2451
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	1313552	1351423	14	-0.0306
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	1359823	2148097	213	-1.5434
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	2149096	2149270	2	-7.0184
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	2149389	2445890	275	-1.3634
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	2446015	2457859	10	-2.945
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	2460648	2790554	309	-1.4755
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	2795344	2831407	42	-0.0107
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	2835951	2875037	25	-1.5574
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	2878030	3496446	532	-0.0612
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	3496522	3687947	173	0.5859
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	3694663	3735723	51	-0.0837
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	3739192	3769432	24	0.3547
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	3770486	4425320	483	-0.0512
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	4426148	4538813	85	0.4583
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	4541959	4647955	77	0.9671
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	4649066	4828609	144	0.5478
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	4830897	4853278	18	-0.0712
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	4855557	4859772	5	-1.4642
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	4861072	5043599	176	-0.0889
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	5045634	5263765	226	0.5789
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	5266505	5281013	10	0.0496
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	5281295	5293147	18	0.6062
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	5294034	6248975	802	-0.0779
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	6251435	6489701	175	-1.4748
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	6489928	6499657	14	-2.5482
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	6500082	7762048	903	-1.3808
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	7771486	12042135	3116	-0.0887
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	12045529	13169467	350	-1.2909
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	13173552	13284832	76	-0.1317
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	13287247	13327036	33	-1.26
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	13329550	13391696	25	-0.1973
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	13392619	14138753	580	-1.4125
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	14148673	14216602	92	-0.12
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	14219906	14228104	11	-1.4048
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	14238234	14259816	21	-0.2543
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	14259875	14272134	18	-1.5479
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	14278092	14692979	353	-0.0739
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	14696998	15118690	263	-1.4652
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	15120198	15329983	99	-0.0994
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	15331010	16299984	199	0.5596
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	16300131	16373474	53	-0.1539
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	16373859	16377164	5	-1.5792
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	16377193	16500213	83	-0.03
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	16500772	16503802	5	-2.2353
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	16507421	17308083	511	-0.0501
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	17312403	20320962	1489	-1.3612
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	20327408	20386560	33	-0.1938
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	20566972	21296750	337	-1.3101
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	21301987	21361673	41	-0.7218
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	21391680	21593128	14	-1.3414
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	21593514	21594950	3	-4.7387
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	21598247	21794755	124	-1.3441
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	21795533	21797019	4	-4.4843
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	21798119	21907032	87	-1.4514
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	21908297	21915208	12	-0.0567
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	21919789	32228331	5818	-1.3673
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	32229571	33944112	1154	-0.016
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	34754143	34821452	55	0.9385
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	34827939	38046068	1917	-0.0936
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38047398	38047745	2	-3.8155
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38049420	38051887	5	-1.0543
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38051969	38118531	64	-0.0883
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38119360	38205483	62	-1.4758
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38206779	38466645	211	0.8667
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38466743	38519226	36	1.1728
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38519448	38671849	101	0.8418
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38674313	38938562	222	1.0934
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	38940448	39283674	214	0.8667
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	39286852	39290810	5	-0.1254
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	39291989	39317238	13	0.2226
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	39318734	39357927	21	0.4388
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_F05_1464606	5	39359138	39386242	26	0.2118
