Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	3301765	55609140	28252	-0.3156
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	55611406	107874422	32621	-0.3389
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	107875930	117163413	5731	-0.32
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	117163653	117196672	29	1.1671
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	117197055	117824679	380	0.883
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	117828554	117864807	22	1.7462
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	117865653	118197639	168	1.4741
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	118202297	118645310	260	1.883
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	118645543	118806818	61	2.5311
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	118812441	119294212	273	1.9703
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	119298022	119984772	469	1.7551
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	149906351	153069479	1464	0.1688
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	153074967	153092494	14	0.6214
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	153096553	184250971	20050	0.1729
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	184252701	184891953	388	-0.3314
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	184893682	184901717	9	-0.0714
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	184910948	184931609	11	0.1746
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	184931645	189911405	2948	-0.345
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	1	189915202	247650984	36911	0.165
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	2	480597	88831240	50856	-0.3317
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	2	88831554	222488727	70095	0.1733
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	2	222491022	222984892	328	-0.3632
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	2	222987635	222989536	2	-1.8812
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	2	222992262	241537572	11151	-0.3351
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	3	2170634	197812401	107381	0.1588
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	4	1059384	187842528	103699	-0.3269
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	913983	1021104	52	0.5613
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	1287276	1309352	13	1.0992
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	1313552	1391046	39	0.5172
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	1392112	1428688	24	1.7591
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	1880474	2244373	240	0.538
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	2250995	2251351	5	1.808
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	2251733	3154556	820	0.5126
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	3156605	3207552	60	1.0899
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	3207994	3302002	108	0.5167
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	3307241	3542118	193	1.6438
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	3543936	3949095	357	0.4949
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_E06_1361434	5	3978788	4315329	234	2.0386
