Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	3301765	6226641	2008	0.0174
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	6226931	47106945	21476	-0.0148
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	47107741	50495204	1930	0.0298
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	50498368	50511286	7	-0.4636
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	50513297	53054289	1073	-0.0304
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	53054495	149906351	41755	0.0205
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	149907993	151695242	668	0.3492
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	151697079	153395925	1030	0.4315
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	153396533	153973981	224	0.3521
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	153983762	154266807	120	-0.0788
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	154274778	156521187	1046	0.3917
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	156521254	156523282	2	-0.7627
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	156524558	164399336	5180	0.4141
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	164399367	164413143	10	-0.1194
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	164415556	164852545	346	0.4028
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	164853962	164855770	2	-1.4473
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	164857517	205604935	25894	0.4207
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	205614738	205629982	10	-0.0599
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	1	205630152	247650984	27243	0.4253
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	2	480597	46466885	27954	0.0185
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	2	46468368	46470545	12	-0.5236
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	2	46471655	69613039	13183	0.0166
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	2	69617647	70419177	463	-0.0564
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	2	70420668	82566012	6557	0.0234
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	2	82566834	102733581	6408	-0.0039
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	2	102733950	241537572	77808	0.021
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	3	2170634	41220229	23670	0.0324
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	3	41220358	41220651	2	-1.2363
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	3	41220938	44301896	1599	0.0334
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	3	44302091	58638794	7691	0.0103
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	3	58639043	84153666	15400	0.0339
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	3	84154343	84159213	2	-1.1922
NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_E05_1486486	3	84159395	90258727	2953	0.0263
