Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	3301765	6803282	2267	-0.2362
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	6804566	6999090	115	-0.0749
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	7001370	9792641	1498	-0.2502
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	9795530	13477872	1512	-0.0608
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	13478021	13549769	53	-0.2804
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	13553294	13930704	274	-0.0289
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	13931172	15357049	1151	-0.2076
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	15359510	16468422	456	-0.0591
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	16468706	17144733	117	-0.241
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	17145076	19765683	1838	-0.0445
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	19765862	19766132	2	-1.2895
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	19766451	22982578	1818	-0.054
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	22985532	23745865	404	-0.2443
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	23750484	29538595	2464	-0.082
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	29539593	29831243	215	-0.2332
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	29835897	30445720	459	-0.0453
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	30448028	30631228	170	-0.193
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	30631546	31405396	341	-0.0694
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	31407875	31887205	241	-0.062
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	31891926	31996639	46	0.3082
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	32000730	119984772	52695	-0.0403
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	149906351	151437026	530	0.5114
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	151437367	153256299	1092	0.6987
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	153257097	153303896	22	0.9632
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	153304947	161808705	4659	0.6676
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	161808904	163514231	1414	0.7107
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	163516924	163590910	44	-0.1084
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	163597008	174589938	7669	0.6921
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	174590018	174960725	158	0.8834
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	174965720	175247997	190	-0.1188
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	175249029	175249080	2	-1.2892
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	175255749	177526023	1186	-0.1186
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	177526616	192842780	9563	-0.3168
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	192850094	202840222	6009	0.5758
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	202841239	202891611	38	0.3177
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	202892214	206050477	2102	0.5795
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	206053798	206058124	3	1.3926
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	206061687	206858447	368	0.5823
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_E08_1231242	1	206858585	207148249	189	0.8107
