Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	3301765	64235794	34492	0.0176
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	64239245	108961034	26890	3e-04
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	108962041	108962290	2	-1.1528
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	108966266	164244899	15033	0.0074
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	164257762	164261146	11	-0.7408
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	164261547	236223665	46240	-0.0021
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	236224142	237081354	712	0.0233
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	237083763	237263249	174	-0.5693
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	1	237264044	247650984	6473	0.0039
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	480597	22033526	14115	0.0077
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	22040602	22325902	94	0.4122
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	22329297	139548751	59029	0.0038
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	139550073	193704998	30966	-0.013
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	193722432	193733648	8	-0.8722
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	193737212	197045979	1422	-0.0252
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	197046330	197085958	27	0.3603
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	197088127	215484285	10702	-0.0146
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	215484618	225643279	6652	-0.0039
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	225645543	226692935	632	-0.0984
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	226694021	226694601	2	-1.63
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	2	226694698	241537572	8739	-0.0818
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	3	2170634	144393319	79721	5e-04
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	3	144400752	186341089	21361	-0.0123
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	3	186344425	197812401	6237	-0.0016
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	1059384	3642951	1035	-0.0025
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	3644345	11050973	4427	0.0234
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	11051828	91387233	45675	-0.0027
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	91392651	91419952	11	0.5069
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	91421735	91452878	20	0.2968
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	91560210	94312801	1331	-0.0139
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	94316461	94317527	3	-0.9431
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	94319718	139695829	24989	-0.0076
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	139704619	140018224	269	0.3797
CACTI_p_TCGAb_392_393_394_NSP_GenomeWideSNP_6_E02_1474008	4	140019934	146819359	3748	-0.0032
