Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	3301765	8235228	3176	0.4776
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	8235934	12190922	1911	0.4176
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	12190990	13646674	441	0.4713
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	13646755	14815804	935	0.5225
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	14818280	20847207	3555	0.4589
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	20847936	20949411	46	0.7198
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	20949569	27148036	2921	0.4361
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	27148998	27481107	126	0.6314
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	27518482	29383231	776	0.3878
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	29384759	30933289	1071	0.5
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	30934781	33234313	987	0.393
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	33235049	35442850	1393	0.4993
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	35444010	41849993	3453	0.4472
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	41852148	42179253	231	0.6365
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	42181848	43458378	746	0.7934
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	43458447	43639979	123	0.6341
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	43645854	47727533	1992	0.4452
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	47730918	50644281	1619	0.5356
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	50644702	55131043	2348	0.4634
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	55133147	62394639	5435	0.2984
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	62403289	63109555	461	0.7424
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	63109584	63214313	72	0.5574
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	63215483	67881798	3404	0.2847
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	67885698	68807462	606	0.5719
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_G11_896582	1	68813231	71698462	1500	0.3384
