Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	64	64	1508983	44402472	-1.0755	-1.07548127788747	0	No
chr1	65	118	54	45003513	97528537	-0.1069	-0.106880151357049	0	No
chr1	119	143	25	97915518	115258815	-0.6489	-0.648948529522527	0	No
chr1	144	182	39	116696985	120612051	-0.1948	-0.194816523550428	0	No
chr1	183	324	142	144896907	193104631	0.5738	0.573838714022769	0	No
chr1	325	366	42	193104553	206653488	1.8241	1.8241425665213	0	No
chr1	367	441	75	206653731	249066411	0.8498	0.849806650755299	0	No
chr10	442	465	24	1500941	3207562	-1.6243	-1.6242685859464	0	No
chr10	466	612	146	3207520	99219099	-0.5071	-0.507140934659621	0.0205479452054795	No
chr10	613	636	24	99219028	99237719	0.7038	0.703806035101788	0	No
chr10	637	725	89	99238042	135030897	-0.6106	-0.610616233060091	0	No
chr11	726	885	160	532585	65633408	-0.1384	-0.138363392583671	0	No
chr11	886	1092	207	65633354	125499241	0.6669	0.666923393056892	0	No
chr11	1093	1113	21	125499187	133715385	0.0192	0.0192171922930521	0	No
chr12	1114	1170	57	1022487	12022939	-0.8042	-0.804193216251598	0	No
chr12	1171	1176	6	12870725	13506045	-1.4497	-1.44965847579501	0	No
chr12	1177	1189	13	15027549	15679230	-0.5939	-0.593892738502803	0	No
chr12	1190	1233	44	15699471	49524540	-0.8903	-0.890250515137049	0	No
chr12	1234	1270	37	51002432	53685676	-0.6622	-0.662175092701671	0	No
chr12	1271	1275	5	53685716	53687288	-0.243	-0.242961188992399	0	No
chr12	1276	1283	8	54019748	54676383	-1.3375	-1.33754399539004	0	No
chr12	1284	1366	83	54676409	89743369	0.5217	0.521714036632917	0	No
chr12	1367	1474	108	89744319	124137175	0.0493	0.0348184807498454	0	No
chr12	1475	1480	6	124137142	124144694	1.4217	1.42172318852876	0	No
chr12	1481	1526	46	124144612	133244265	0.3005	0.300456513908561	0	No
chr12	1527	1546	20	133244895	133501817	0.8595	0.859526185926365	0	No
chr13	1547	1592	46	19523245	28608391	-1.4745	-1.47448323616241	0	No
chr13	1593	1652	60	28608345	31505685	-0.2246	-0.297312973399509	0.0166666666666667	No
