Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	3301765	5021137	1260	-4e-04
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	5027358	5037475	12	-0.7078
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	5038979	5287379	161	-0.0263
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	5348829	14394166	4642	-0.7942
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	14399317	23025762	5012	0.0209
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	23035122	23137255	53	-0.7115
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	23144686	28223937	2223	-0.0265
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	28226080	28226601	2	-2.0785
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	28228915	30405423	1213	-0.0087
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	30405438	31408653	541	0.0584
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	31408790	33387707	834	-0.0307
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	33387874	33953003	432	0.1005
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	33953195	45878365	6536	-0.0059
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	45880368	48855311	1684	0.0403
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	48855852	59725787	6712	-0.001
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	59729560	64701022	3426	0.0727
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	64704590	70493036	3835	0.0321
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	70495826	71711734	644	0.07
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	71714936	83604216	6870	-0.0154
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	83608209	87832930	2850	0.043
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	87835594	93528959	3327	0.0025
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	93529913	95807527	1571	0.0578
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	95807790	115544106	11468	-0.0179
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	115547733	119981332	2776	0.053
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	119984738	153860597	1876	-0.0102
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	153860628	156801024	1349	-0.0659
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	156810514	158201447	953	0.0213
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	158204655	161997370	2241	-0.0611
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	161997497	162199934	197	-0.019
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	162200737	163459353	1037	0.0562
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	163464889	164997868	1086	-0.0463
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	164999184	165881239	784	0.0905
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	165881253	174574833	5874	-0.0053
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	174576689	176538999	875	-0.0765
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	176539142	180593108	2637	0.0207
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	180593230	182917948	1613	-0.0276
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	182920109	187920681	3193	0.0286
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	187922950	191653147	2081	-0.0427
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	191653312	193084316	822	0.0419
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	193085355	193206728	140	-0.7118
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	193206742	193207159	7	-0.0842
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	193207334	193244038	74	-0.7032
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	193252785	200713695	4332	-0.0588
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	200720587	202023038	864	0.0431
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	202025075	209105849	4638	-0.0204
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	209109735	228058030	12268	0.0161
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	228058675	229255415	567	-0.0708
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	229255429	237038288	5466	0.0126
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	237038520	245032783	5512	-0.0384
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	245033107	247176510	842	0.0281
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	1	247177342	247650984	302	-0.0321
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	480597	2028421	273	-0.1011
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	2028992	2030872	3	-0.9618
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	2036863	2880332	631	-0.0485
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	2881955	4262254	907	0.0417
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	4262918	6011700	1311	-0.073
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	6011922	7546539	1169	4e-04
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	7547213	8828427	871	-0.0784
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	8829656	12266680	2424	0.0207
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	12266885	13470663	723	0.0905
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	13470834	13912285	249	0.0036
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	13912330	16866884	2041	-0.0518
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	16866956	18352608	1012	0.0628
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	18353167	22924134	2971	-0.0022
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	22925539	23770655	653	0.076
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	23773057	29201138	2492	-0.0096
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	29201223	30260947	862	0.0565
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	30263470	31551068	921	-0.0497
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	31551227	35506401	1761	0.0211
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	35506654	36378320	382	-0.0731
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	36380043	38939435	1331	0.0234
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	38941900	38999661	45	-0.0867
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	38999922	40156397	652	0.0724
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	40156641	41638978	870	-0.0339
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	41648378	41665031	16	-0.8582
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	41675978	75123458	19516	-0.0116
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	75126374	75875578	458	0.1268
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	75879875	76621005	462	0.0242
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B11_1320950	2	76629001	129730347	23604	-0.0276
