Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	1	3301765	119979137	68047	0.0148
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	1	119979978	247650984	61562	0.0895
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	480597	44576450	26402	0.0089
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	44576746	44597581	5	-0.8124
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	44599700	83765100	22236	0.0109
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	83774684	83865641	47	0.504
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	83866703	158199030	35102	0.0106
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	158200004	158203406	2	-2.341
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	158204237	217640039	33759	0.0149
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	217641689	217641930	3	-1.2327
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	217646941	232263216	8758	0.0167
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	232263591	232272608	2	-1.3332
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	2	232276555	241537572	5663	0.0135
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	3	2170634	80011227	46150	0.0126
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	3	80012628	80014572	2	-1.5329
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	3	80021657	90436486	5050	0.0021
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	3	90436812	193621121	54299	-0.0481
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	3	193621136	193791160	118	-0.2316
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	3	193793164	197812401	1372	-0.0428
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	4	1059384	187842528	103391	0.0198
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	5	914118	30903949	17814	0.1663
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	5	30905056	180934240	83180	0.0404
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_G07_1231066	6	1011760	93732244	52393	0.0208
