Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	1	3301765	247650984	130043	-0.0122
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	2	480597	36776057	22108	-0.0143
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	2	36776391	36779270	2	-1.7111
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	2	36779360	237003958	107722	-0.0151
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	2	237007024	237889167	592	0.2748
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	2	237890564	241537572	1958	-0.0203
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	3	2170634	61141148	33772	-0.015
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	3	61141532	61142344	3	-1.18
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	3	61145227	80011227	12500	-0.0169
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	3	80012628	80014572	2	-1.4821
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	3	80021657	113595163	15850	-0.0187
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	3	113597536	135951798	13248	-0.4988
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	3	135952692	197812401	31955	-0.0195
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	4	1059384	187842528	103673	-0.0226
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	913983	17194063	10764	0.3336
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	17194286	30960432	7158	0.3089
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	30961698	50828231	8276	0.3324
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	50829022	64399982	7978	-0.0101
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	64400801	64406048	2	-1.2698
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	64411530	86417175	12108	-0.019
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	86420120	86420311	2	-1.3981
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	86425593	104640774	8696	-0.0193
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	104642984	104643471	4	-0.9065
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	104643560	138579528	20201	-0.021
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	138579751	151445227	7739	-0.5108
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	151449730	175318426	15868	-0.0192
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	175320492	175323602	5	-0.8821
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	5	175324153	180934240	2481	-0.0209
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	6	1011760	57347009	34202	0.3356
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	6	61524627	170596889	63109	-0.0199
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	664936	37964248	21753	-0.0185
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	37964804	37966171	2	-1.247
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	37967299	70184697	14638	-0.0205
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	70185481	70487133	165	-0.1884
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	70487201	78373719	2997	-0.023
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	78384352	78437954	58	-0.5926
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	78438435	91286216	6536	-0.0247
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	91286588	91329064	41	0.3051
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	91331876	91359460	17	-0.0324
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	91360080	93928162	1601	0.3279
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	93928227	95045228	624	0.0135
LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_B05_896622	7	95047337	126001836	16147	0.3281
