Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	370	370	762097	1354998	0.031	0.0309553564761827	0.00810810810810811	No
chr1	371	372	2	1355455	1356061	1.1029	1.10294360945068	1	CNV
chr1	373	376	4	1356223	1371172	0.3815	0.381528784026928	0	No
chr1	377	495	119	1372285	1599983	0.0107	0.0106630347040542	0.0252100840336134	No
chr1	496	497	2	1601164	1601649	0.8069	0.806926132714194	0.5	CNV
chr1	498	587	90	1602842	1916891	0.0467	0.0467301689798033	0	No
chr1	588	593	6	1918387	1951012	0.4954	0.495355924860343	0.333333333333333	No
chr1	594	849	256	1956285	3348737	0.0567	0.0623770740929855	0.0078125	No
chr1	850	866	17	3350241	3354699	-0.182	-0.182041010715921	0	No
chr1	867	914	48	3354699	3431235	0.069	0.0690019806787733	0	No
chr1	915	924	10	3431982	3542152	0.3701	0.370124610619319	0	No
chr1	925	1479	555	3542219	7827326	-0.0069	-0.0069061830886136	0.0198198198198198	No
chr1	1480	1536	57	7827326	7909746	-0.1841	-0.184090087878808	0	No
chr1	1537	1876	337	7910775	10132344	-0.0298	-0.0297762765988887	0.0118694362017804	No
chr1	1877	1879	3	10132569	10133242	-0.7897	-0.789730197957211	0	No
chr1	1880	1909	30	10155558	10241380	-0.1009	-0.100886345522164	0	No
chr1	1910	2018	109	10287843	10512251	-0.512	-0.511995944388135	0.00917431192660551	No
chr1	2019	2026	8	10516555	10519738	-0.894	-0.89399196685487	0.125	No
chr1	2027	2737	711	10519738	14925765	-0.4799	-0.48128718396879	0.00562587904360056	No
chr1	2738	2739	2	15250567	15250995	0.7556	0.75557361980936	1	CNV
chr1	2740	3111	371	15287106	16386479	-0.4734	-0.470807792125795	0.0215633423180593	No
chr1	3112	3116	5	16388549	16451029	0.3473	0.347349091739408	0.4	CNV
chr1	3117	3242	126	16451093	17023408	-0.476	-0.475960765444847	0	No
chr1	3243	3280	38	17025993	17296529	-0.145	-0.144966273538527	0.105263157894737	No
chr1	3281	5032	1745	17296804	25573457	-0.4918	-0.494217461919128	0.0177650429799427	No
chr1	5033	5041	9	25611070	25656734	0.1598	0.159798852474614	0.111111111111111	No
chr1	5042	5136	95	25656765	26143694	-0.5374	-0.583036119060884	0.0315789473684211	No
chr1	5137	5168	32	26143999	26189500	-0.7188	-0.718834271780395	0	No
chr1	5169	6198	1024	26189500	31441280	-0.492	-0.491987971460557	0.0107421875	No
chr1	6199	6589	389	31447410	32800795	-0.0455	-0.0454698812435054	0.012853470437018	No
chr1	6590	6593	4	32801617	32827569	0.6008	0.600752898470177	0.25	No
