Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	1	3301765	176574165	84620	0.0375
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	1	176575499	177579877	667	0.1474
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	1	177579910	247650984	44747	0.0394
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	2	480597	241537572	132384	0.0396
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	3	2170634	197812401	107325	0.0401
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	4	1059384	187842528	103669	0.0414
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	5	913983	51713560	26657	0.0562
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	5	51714140	52969797	824	-0.3736
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	5	52979213	57953758	3202	0.0611
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	5	57955898	62412798	2719	-0.3787
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	5	62414041	62550835	76	0.0948
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	5	62551246	131470577	37288	-0.3782
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	5	131477216	131619001	65	-0.9791
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	5	131619588	180934240	30421	-0.3606
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	6	1011760	170596889	97308	0.0429
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	7	664936	158592540	82125	0.0424
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	8	667625	144182542	82315	0.0432
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	9	789794	4383219	2607	-0.3906
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	9	4383319	4394612	11	-1.1384
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	9	4395501	4460786	70	-0.6975
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	9	4460857	4487575	14	-1.0021
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	9	4490134	134789290	64791	-0.3763
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	9	134789612	138044505	1114	0.0465
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	10	366509	8981662	6084	0.0307
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	10	8983075	9029039	34	-0.4642
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	10	9031946	133411599	75394	0.0391
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	11	456012	101089233	55807	0.0362
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	11	101089248	101089437	3	-1.2021
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	11	101089451	134272740	22003	0.0432
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	12	780472	132605822	74494	0.0392
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	13	18874255	114226675	57107	0.0373
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	14	20033191	105533894	49865	0.0366
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	15	23437561	101344124	44872	0.0407
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	16	603333	89317317	41295	0.0346
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	17	1074619	82959812	37376	0.0311
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	18	326691	79349796	43020	0.04
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	19	283868	58370362	24260	0.0275
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	20	472817	63588502	37654	0.0365
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	21	13974127	46262057	20817	0.0172
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	22	16934932	48940621	17115	0.0371
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	X	3236359	38976153	16036	0.0072
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	X	38976196	38976730	2	-3.8887
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	X	38977346	51825380	5848	0.0083
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	X	51827017	51832994	4	-2.6324
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H11_895792	X	51839441	155677414	42467	0.007
