Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	SSU72	chr1	1509023	1509125	-0.247	-0.311364301701544	0.058	-0.266	102	0.536434016597848	0.986626638989258	loss	900.078	1068.852	989.882	970.89	-0.327	-0.097	2
2	0	-	chr1	2408027	2408151	-0.236	-1.46108749365893	0.093	-0.224	124	0.598517718213791	0.986626638989258	loss	288.794	339.663	317.234	308.223	-0.484	-0.079	1
3	0	-	chr1	2409914	2410061	0.039	-1.19510347751502	0.132	0.045	147	0.669071475421134	0.986626638989258	loss	315.875	307.032	347.034	278.568	-0.215	0.325	1
4	0	-	chr1	2411172	2411416	-0.124	-2.51706890431778	0.437	-0.136	244	0.64808682173217	0.986626638989258	loss	100.83	98.338	110.402	88.912	-1.106	0.598	1
5	0	-	chr1	2411621	2411751	-0.087	-1.21357286190519	0.051	-0.083	130	0.633314628996814	0.986626638989258	loss	335.69	356.729	368.838	323.731	-0.246	0.04	1
6	0	-	chr1	2415886	2416057	0.098	-0.788281881563394	0.093	0.125	171	0.690561447330298	0.986626638989258	loss	454.993	422.09	500.117	383.129	-0.175	0.255	1
7	0	-	chr1	2418345	2418439	0.062	-0.977690156475033	0.064	0.049	94	0.676082913126351	0.986626638989258	loss	385.636	368.574	423.798	334.496	-0.085	0.206	1
8	0	-	chr1	2418611	2418815	0.117	-1.4217060528643	0.249	0.176	204	0.685496637808442	0.986626638989258	loss	240.421	221.186	264.005	200.554	-0.291	0.514	1
9	0	-	chr1	2419036	2419157	-0.015	-0.769456356138691	0.305	0.094	121	0.645155464312818	0.986626638989258	loss	508.301	490.243	558.777	445.065	-0.533	0.377	1
10	0	-	chr1	2420645	2420817	-0.056	-0.905246377056214	0.184	-0.011	172	0.632550374313615	0.986626638989258	loss	453.988	455.643	499.012	413.622	-0.426	0.178	1
11	0	-	chr1	2421198	2421306	0.248	-0.460275845844667	0.084	0.277	108	0.76832809657286	0.986626638989258	loss	567.818	477.141	624.269	433.159	0.028	0.354	1
12	0	-	chr1	2422630	2422774	0.081	-0.632027797822639	0.09	0.081	144	0.687968508360541	0.986626638989258	loss	534.606	505.479	587.722	458.911	-0.084	0.253	1
13	0	-	chr1	2426294	2426387	-0.048	-1.22674064903445	0.054	-0.051	93	0.645438297251123	0.986626638989258	loss	322.948	334.829	354.817	303.829	-0.156	0.112	1
14	0	-	chr1	2426926	2427009	0.162	-1.23872118596109	0.126	0.18	83	0.697506457575595	0.986626638989258	loss	280.895	247.831	308.542	224.768	-0.09	0.338	1
15	0	-	chr1	2428045	2428143	0.399	-0.671429436098119	0.099	0.43	98	0.780738665267172	0.986626638989258	loss	417.886	313.856	459.286	284.77	0.213	0.527	1
16	0	-	chr1	2428266	2428449	0.043	-1.07233227344697	0.266	0.062	183	0.670137680895927	0.986626638989258	loss	364.506	335.613	400.546	304.542	-0.555	0.387	1
17	0	-	chr1	2428940	2429048	0.593	-0.880785046764994	0.205	0.692	108	0.793113530102225	0.986626638989258	loss	298.19	193.863	327.574	175.723	0.124	0.805	1
18	0	-	chr1	2429961	2430086	0.429	-1.46373708465923	0.138	0.413	125	0.735980495876381	0.986626638989258	loss	186.064	139.774	204.192	126.568	0.042	0.83	1
19	0	-	chr1	2430182	2430267	-0.03	-1.57881667721495	0.151	-0.06	85	0.655085118845487	0.986626638989258	loss	226.346	230.692	248.518	209.192	-0.267	0.233	1
20	0	-	chr1	2430522	2430669	-0.083	-1.49773931994272	0.159	-0.065	147	0.641813865134685	0.986626638989258	loss	256.527	264.957	281.728	240.331	-0.424	0.137	1
21	0	-	chr1	2431079	2431159	0.263	-0.873406895493129	0.082	0.289	80	0.733661750617566	0.986626638989258	loss	375.233	310.519	412.35	281.737	0.048	0.406	1
22	0	-	chr1	2433550	2433848	-0.63	-3.53987368979282	0.184	-0.633	298	0.598742618504998	0.986626638989258	loss	48.631	71.153	52.963	64.208	-1.109	-0.337	1
23	0	-	chr1	2435360	2436652	-0.221	-3.01846964371754	0.369	-0.234	1287	0.64049503209902	0.986626638989258	loss	63.983	69.808	69.856	62.985	-1.42	0.485	1
24	0	-	chr1	3003428	3003530	-0.078	-0.33242057459787	0.128	-0.043	102	0.509239921314517	0.986626638989258	loss	795.507	837.631	874.814	760.763	-0.365	0.127	2
25	0	-	chr1	4510054	4510156	0.047	-0.386384450765705	0.077	0.025	102	0.673738981773994	0.986626638989258	loss	695.934	673.544	765.245	611.645	-0.066	0.213	2
26	0	NPHP4	chr1	6011300	6011402	0.231	-0.212746124974357	0.058	0.22	102	0.821328635710614	0.986626638989258	loss	732.677	622.911	805.676	565.63	0.122	0.376	2
27	0	-	chr1	7503222	7503323	0.303	0.0487617632131122	0.073	0.329	101	0.922872063119571	0.993733584408662	gain	903.73	729.701	993.901	662.678	0.047	0.388	2
28	0	-	chr1	9032969	9033070	0.025	-0.0770583532182799	0.08	0.038	101	0.878398666026408	0.98842357844315	loss	957.006	940.243	1052.525	854.013	-0.153	0.136	2
29	0	-	chr1	10517883	10517985	0.055	-0.211109023986866	0.066	0.046	102	0.687788511878348	0.986626638989258	loss	823.082	791.383	905.157	718.733	-0.075	0.284	2
