Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	3301765	31244722	15095	-0.0037
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	31249109	31249715	3	-1.4618
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	31249774	40610099	4923	-0.0017
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	40615682	119217451	47719	0.1386
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	119218192	119984738	521	0.2438
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	119984772	150017843	47	0.4055
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	150018467	152377208	984	0.5023
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	152380038	153509241	732	0.5818
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	153510413	154972995	688	0.5123
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	154977746	156216047	499	0.419
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	156217762	158294045	1295	0.5162
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	158295797	172551825	10077	0.3886
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	172552374	172667327	63	0.338
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	172668354	176995051	2231	0.242
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	176995137	187196158	6683	0.2747
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	187196712	191379544	2395	0.2489
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	191379796	196522064	3140	0.3605
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	196522375	204545827	4903	0.4815
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	204545831	207171648	1569	0.5429
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	207172397	211317788	3061	0.4911
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	211317810	211988489	407	0.3676
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	211988737	222640270	7200	0.5036
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	222640411	222993436	192	0.3662
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	222993822	227671201	2700	0.4905
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	227671547	229915310	1185	0.3881
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	229915744	237170216	5155	0.2732
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	237170325	240322475	2487	0.2244
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	240323421	240730299	297	0.3003
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	240733978	246916699	3362	0.3816
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	246917020	247275219	176	0.2509
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	1	247277943	247650984	241	0.2179
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	480597	663676	168	-0.0099
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	664719	687775	19	0.3924
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	1912858	74518118	43618	0.025
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	74518854	76155249	975	0.0842
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	76155332	100995310	8699	0.0227
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	100996153	104209198	1926	-0.014
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	104209567	137043729	16764	0.0252
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	137044699	138837928	646	-0.0028
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	138837980	138842112	4	-0.8363
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	138844740	143332012	2767	-0.0131
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	143332324	170071354	15491	0.0281
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	170071499	170074066	3	-1.303
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	170074101	178423963	5324	0.0347
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	178429184	214875492	19561	0.0147
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	214878621	228019705	8472	0.0368
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	228019938	231418120	1919	-0.0087
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	2	231418174	241537572	6004	0.0371
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	2170634	4491276	1252	-0.0883
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	4491474	6112738	638	0.0729
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	6116948	7129349	569	-0.1024
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	7129897	7376199	210	0.0497
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	7377038	7802998	397	-0.1135
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	7803452	10599136	1843	0.0723
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	10601207	10618717	19	-0.7913
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	10622394	17821103	4688	0.057
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	17821454	19366087	806	-0.0629
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	19368504	20472775	608	0.0562
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	20472905	21512955	533	-0.0736
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	21514035	21621779	78	0.0709
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	21621999	21740672	88	-0.1462
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	22176672	23108237	477	0.0482
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	23108817	23419916	168	-0.0882
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	23420809	24620737	784	0.0516
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	24626213	25117399	422	-0.0667
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	25119985	34641612	5920	0.0683
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	34642506	35162214	294	-0.1036
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	35162653	37157962	1244	0.0224
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	37158314	39209650	1304	-0.0671
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	39210285	40445584	789	0.0645
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	40448512	41808789	870	-0.0705
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	41809598	43962228	1098	0.0859
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	43962745	47079114	1764	-0.0726
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	47079904	55123085	3883	0.0488
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	55127625	55791673	555	-0.1024
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	55791950	56422765	436	0.0369
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	56422942	58930269	1365	0.0787
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	58945306	59339408	204	0.3479
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	59341602	59706442	344	0.2116
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	59706544	73640229	9240	0.0719
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	73642505	73775747	126	-0.0178
AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H10_895340	3	73775760	73783368	4	0.4883
