Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	SSU72	chr1	1508983	1509154	-0.461	-0.400855894611432	0.117	-0.483	171	0.442350323643938	0.999880433205257	loss	1254.529	1741.613	1157.433	1886.421	-0.655	-0.189	2
2	0	PRDM16	chr1	3003378	3003530	-0.733	-0.666784630554419	0.081	-0.738	152	0.260461252111861	0.999880433205257	loss	869.71	1448.266	802.257	1568.592	-0.884	-0.569	1
3	0	-	chr1	4510014	4510179	-0.358	-0.289306190591549	0.283	-0.29	165	0.64153258873736	0.999880433205257	loss	927.762	1159.663	855.836	1255.903	-0.883	0.046	1
4	0	NPHP4	chr1	6011254	6011432	-0.535	-0.475680693610045	0.211	-0.588	178	0.353025237697871	0.999880433205257	loss	1247.236	1855.206	1150.702	2009.494	-0.795	0.086	2
5	0	CAMTA1	chr1	7503172	7503356	-0.062	-0.000174817007583539	0.145	-0.024	184	0.99974235537257	0.999880433205257	loss	1363.695	1426.933	1258.19	1545.478	-0.473	0.2	1
6	0	CA6	chr1	9032923	9033107	-0.203	-0.143240181962614	0.346	-0.354	184	0.781862605295061	0.999880433205257	loss	1387.437	1657.771	1280.103	1795.582	-0.669	0.426	2
7	0	NMNAT1	chr1	10032085	10032279	-0.145	-0.089200901769887	0.334	-0.241	194	0.851053595810692	0.999880433205257	loss	1673.648	1926.547	1544.268	2086.789	-0.559	0.59	2
8	0	NMNAT1	chr1	10035603	10035862	-0.016	0.0431114446843542	0.195	-0.046	259	0.932601341164908	0.999880433205257	gain	1537.323	1592.498	1418.444	1724.861	-0.328	0.352	2
9	0	NMNAT1	chr1	10041039	10041259	-0.001	0.0658587899272758	0.259	-0.07	220	0.912601287439992	0.999880433205257	gain	1114.57	1141.213	1028.255	1235.914	-0.39	0.439	1
10	0	NMNAT1	chr1	10042312	10042793	-0.052	0.0156321417131424	0.171	-0.05	481	0.979523329090023	0.999880433205257	gain	1070.577	1112.658	987.651	1204.975	-0.433	0.55	1
11	0	-	chr1	10517838	10517977	-0.083	-0.0183374012322575	0.158	-0.168	139	0.974534273793853	0.999880433205257	loss	1199.692	1275.529	1106.82	1381.439	-0.285	0.303	1
12	0	MFN2	chr1	12042648	12042831	0.003	0.0601123340543326	0.346	-0.061	183	0.901655495058193	0.999880433205257	gain	1687.502	1718.291	1557.055	1861.153	-0.413	0.656	2
13	0	LRRC38	chr1	13801714	13801869	-0.577	-0.517453280333956	0.092	-0.556	155	0.314850921902003	0.999880433205257	loss	1236.186	1836.576	1140.503	1989.31	-0.822	-0.42	2
14	0	KAZN	chr1	15011427	15011610	0.228	0.291562310402235	0.095	0.2	183	0.603661430516261	0.999880433205257	gain	1395.839	1197.221	1287.858	1296.596	0.053	0.411	1
15	0	-	chr1	16517099	16517252	0.188	0.250851507409701	0.132	0.225	153	0.650303546155091	0.999880433205257	gain	1423.674	1248.478	1313.549	1352.131	-0.142	0.423	1
16	0	-	chr1	18026103	18026277	-0.3	-0.237959144145638	0.174	-0.379	174	0.661741268217233	0.999880433205257	loss	1233.991	1531.312	1138.477	1658.569	-0.536	0.105	1
17	0	UBR4	chr1	19504014	19504193	0.083	0.148068237353177	0.166	0.037	179	0.798216971335957	0.999880433205257	gain	1239.848	1193.294	1143.883	1292.341	-0.216	0.533	1
18	0	KIF17	chr1	21016506	21016620	0.039	0.100727208188462	0.111	0.035	114	0.852092361160849	0.999880433205257	gain	1413.689	1388.52	1304.333	1503.86	-0.142	0.253	1
19	0	-	chr1	22502230	22502411	-0.398	-0.339570110366799	0.249	-0.481	181	0.498607248079064	0.999880433205257	loss	1374.898	1846.402	1268.53	1999.956	-0.761	0.205	2
20	0	-	chr1	24013256	24013395	-0.289	-0.224287447489528	0.205	-0.338	139	0.696501702879188	0.999880433205257	loss	1100.879	1369.121	1015.619	1482.842	-0.621	0.139	1
21	0	SRRM1	chr1	24969730	24969906	-0.241	-0.162841632345099	0.134	-0.27	176	0.823885784327771	0.999880433205257	loss	636.052	763.1	586.597	826.244	-0.415	0.16	1
22	0	SRRM1	chr1	24972418	24972600	-0.231	-0.170064127139451	0.076	-0.214	182	0.748770616694735	0.999880433205257	loss	1337.611	1559.916	1234.115	1689.56	-0.461	-0.069	2
23	0	SRRM1	chr1	24973111	24973314	-0.234	-0.176694019335198	0.199	-0.27	203	0.717691958313999	0.999880433205257	loss	1531.04	1846.989	1412.645	2000.591	-0.557	0.153	2
24	0	SRRM1	chr1	24975302	24975527	0.042	0.108249502933096	0.217	0.023	225	0.855139244700433	0.999880433205257	gain	1167.947	1146.687	1077.52	1241.844	-0.294	0.509	1
25	0	SRRM1	chr1	24976413	24976610	-0.158	-0.0897663430975432	0.301	-0.242	197	0.884149521228802	0.999880433205257	loss	989.3	1139.124	912.635	1233.65	-0.627	0.396	1
26	0	SRRM1	chr1	24977852	24978128	-0.155	-0.0845946305881352	0.179	-0.174	276	0.895064953944877	0.999880433205257	loss	922.757	1018.982	851.217	1103.482	-0.683	0.186	1
27	0	SRRM1	chr1	24978898	24979153	-0.013	0.0583073974277499	0.13	-0.03	255	0.928727736695936	0.999880433205257	gain	930.709	938.388	858.557	1016.161	-0.278	0.34	1
28	0	SRRM1	chr1	24979352	24979556	-0.415	-0.350044156198705	0.141	-0.451	204	0.54467559369896	0.999880433205257	loss	1043.588	1401.141	962.74	1517.534	-0.668	-0.079	1
29	0	SRRM1	chr1	24981296	24981643	0.067	0.132673841839013	0.359	0.198	347	0.820954323043837	0.999880433205257	gain	1193.374	1178.273	1100.988	1276.066	-0.549	0.542	1
30	0	SRRM1	chr1	24987148	24987306	-0.945	-0.884653159106616	0.236	-0.826	158	0.0914545519353069	0.999880433205257	loss	1033.226	1937.35	953.177	2098.494	-1.43	-0.658	2
