Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	3301765	19074197	8836	-0.1066
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	19074911	58736951	21922	-0.0789
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	58738766	58896546	109	-0.1425
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	58897327	85514667	16701	-0.0432
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	85522881	85537483	10	0.5458
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	85540326	119373360	20277	-0.0435
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	119376582	119984772	407	-0.0773
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	149906351	158544739	4410	0.7552
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	158544845	158545154	5	-0.066
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	158545168	164974783	4330	0.7516
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	164976279	164976589	2	-0.58
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	164977498	175051170	6911	0.7631
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	175051406	175053071	3	-1.5163
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	175053742	179119011	2310	0.7306
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	179120719	179120840	2	-0.7047
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	179121257	183772435	3207	0.7267
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	183774464	199869374	9485	0.7602
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	199869919	208777820	5865	0.7013
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	208778708	223006387	9662	0.742
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	1	223006472	247650984	15585	0.7199
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	2	480597	159258926	84779	-0.0108
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	2	159259770	163413300	2319	0.0799
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	2	163413493	215983368	29641	0.1331
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	2	215983459	220426774	2791	0.0957
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	2	220427214	226550839	4034	0.1383
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	2	226551278	240648573	8439	0.0846
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	2	240648650	241537572	406	0.0282
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	3	2170634	15355889	8122	-0.0554
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	3	15355996	37928776	13409	-0.023
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	3	37928827	51876286	7211	-0.0415
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	3	51876350	55825339	2591	-0.0727
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	3	55827103	67700327	7386	-0.0294
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_G11_896042	3	67702315	67724404	20	-0.4154
