Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	3301765	55038842	27752	0.4428
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	55038977	68215350	9685	0.4823
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	68215516	88949499	12324	0.513
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	88950617	89606969	408	0.4616
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	89608452	94085140	2568	0.043
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	94085785	107463736	7781	0.0771
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	107465966	115854698	5146	0.0432
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	115857708	149913375	2536	0.4824
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	149914031	167088364	10413	0.1253
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	167090099	186654338	12473	0.0527
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	186654874	196076923	5642	0.0957
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	196077113	197480143	636	0.055
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	197481506	197487671	3	-1.6894
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	197493065	214007524	10875	0.0327
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	214007904	221995122	5507	0.0754
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	221995719	227173569	2920	0.0306
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	227175156	228783455	685	0.1323
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	228785052	231124156	1766	0.2056
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	231126556	239540496	6012	0.1506
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	239542918	239782471	183	-0.12
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	239782776	239787745	2	-2.0232
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	239788331	240068425	251	-0.0838
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	240069117	240143748	46	0.2494
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	240144089	245004029	3090	0.1385
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	245004456	247626259	1152	0.2265
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	1	247626617	247650984	13	0.4105
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	480597	9274853	5417	0.1145
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	9276528	9277205	2	-1.8539
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	9278145	95986761	45651	0.1219
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	95994792	136823110	20833	0.2768
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	136826868	151573165	8311	0.3029
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	151578311	151608999	3	-0.9473
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	151609811	153305452	1093	0.279
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	153306652	153308608	2	-1.8106
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	153308738	194607750	23134	0.3082
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	194609035	209515481	8257	0.285
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	209521451	216250236	4051	0.3247
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	216250315	219761207	2123	0.2585
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	219762384	230415077	6832	0.293
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	230415917	241259024	6369	0.2612
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	2	241264871	241537572	153	0.1861
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	2170634	3163120	435	0.3913
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	3163205	17953091	9255	0.3415
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	17956817	18046209	39	0.708
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	18049191	20489711	1319	0.3658
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	20493190	20594241	63	0.7038
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	20596736	45857209	15037	0.3547
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	45857796	50865231	2148	0.2842
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	50865246	74149711	14985	0.354
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	74149771	94015345	8038	0.3911
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	94015827	143498977	27816	0.1328
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	143504304	143509117	5	-1.6912
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	143509167	193870667	26759	0.1462
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	3	193870935	197812401	1328	0.0836
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	1059384	10113441	4659	-0.167
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	10113497	114632220	59320	-0.1034
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	114632833	117392604	1431	-0.4056
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	117396201	138597397	11175	-0.0844
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	138598540	155687403	9707	-0.1141
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	155687418	182508352	14991	-0.093
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	182509470	186253657	1222	-0.1697
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	186255680	186258649	6	-2.9277
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	4	186260138	187842528	925	-0.0894
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	5	913983	3929882	1889	-0.1673
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	5	3930830	172340904	94504	-0.1113
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	5	172341111	180934240	4633	-0.1573
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	1011760	5997282	3550	-0.1274
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	6001484	6044046	31	-0.4985
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	6045106	20428550	10203	-0.1221
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	20431423	20431558	3	-1.6567
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	20432498	24500300	2878	-0.1044
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	24503634	44733518	9915	-0.1565
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	44736955	163241432	67019	-0.1063
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	163241501	163243780	3	-1.8485
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	6	163244364	170596889	3439	-0.1215
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	664936	6758397	2309	0.1019
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	6764964	20662578	7679	0.1778
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	20666446	51695205	20369	0.1446
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	51695930	53249136	1189	0.1779
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	53250694	53251092	2	-1.6205
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	53253990	64380392	2229	0.1616
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	64382528	77860085	5321	0.1175
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	77867238	79167577	1000	0.156
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	79167594	85928922	4011	0.1962
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	85929062	97822590	5971	0.1539
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	97823215	102807005	1791	0.0974
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	102807165	127010790	13164	0.168
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	127017432	133258197	3449	0.1323
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	133258398	138026898	3025	0.1739
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	138029100	143445480	2671	0.1214
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	143447214	149364854	3159	0.169
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	7	149365131	158592540	4678	0.1227
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	667625	13211352	5644	0.1389
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	13212484	17319696	2946	0.1833
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	17319745	47758902	16967	0.1351
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	47766760	52292931	2489	-0.1087
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	52293043	57067868	2738	-0.4555
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	57068741	57068859	3	-3.003
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	57072340	57505472	271	-0.4363
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	57505838	57506080	3	-2.1931
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	57506228	66041166	5118	-0.4415
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	66041788	66046052	2	-2.5985
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	66050720	66154867	62	-0.4741
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	66155460	66157920	5	-2.5821
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	66160170	70225006	2394	-0.4412
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	70227014	71093987	399	-0.1498
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	71094291	94883977	13407	-0.0983
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	94897270	103314067	5063	-0.1313
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	103316081	122562578	11008	-0.0937
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	8	122563002	144182542	13597	-0.131
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	9	789794	7591099	4136	0.3727
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	9	7595558	23829867	10792	-0.1078
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	9	23829913	23830405	2	-2.4468
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	9	23837321	120094538	43842	-0.1227
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	9	120095588	138044505	9693	-0.1599
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	10	366509	37858350	25984	0.1414
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	10	37860847	49531164	3606	-0.1423
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	10	49531319	67753574	10502	-0.0915
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	10	67754201	133411599	41193	-0.1284
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	11	456012	688804	48	-0.0582
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	11	691029	4746285	1734	0.1005
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	11	4750823	44706625	26566	0.1495
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	11	44709190	50096159	2399	0.117
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	11	50101778	69282894	5750	-0.1529
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	11	69283448	69283578	2	-2.1276
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	11	69283609	78819597	5007	-0.1556
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D10_895854	11	78819675	95550442	10337	-0.1056
