Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	1	3301765	3350785	40	0.0301
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	1	3362395	45649343	22803	-0.0836
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	1	45653679	83838211	23428	-0.065
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	1	83842808	84096582	167	0.1873
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	1	84096595	119984772	21590	-0.068
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	1	149906351	247650984	61638	0.3385
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	2	480597	241537572	131958	-0.0645
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	3	2170634	197812401	106978	-0.0716
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	4	1059384	187842528	103338	-0.0635
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	5	913983	21926325	12967	0.0606
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	5	21926409	29000994	3707	0.0346
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	5	29001238	33933215	3299	0.0726
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	5	33933670	59180291	11487	-0.0709
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	5	59180588	59616608	311	-0.3043
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	5	59624230	180914895	69194	-0.0706
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	5	180919084	180934240	8	0.1507
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	6	1011760	135014291	75839	0.1563
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	6	135021116	135022100	2	-1.3906
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	6	135028432	170596889	21254	0.1654
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	7	664936	158592540	81947	0.1566
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	8	667625	35729403	21089	0.0968
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	8	35733630	35751084	12	-0.469
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	8	35757614	109039681	39395	0.098
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	8	109043458	109046330	2	-1.2083
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	8	109046822	144182542	21596	0.0977
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	9	789794	90408153	38884	-0.3356
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	9	90411363	90411888	3	-1.9434
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	9	90419142	114146866	15209	-0.3298
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	9	114151437	114153583	4	-2.2
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	9	114157472	138044505	14167	-0.3417
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	10	366509	6315474	3911	-0.3454
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_B08_1320966	10	6316141	6316252	2	-2.2333
