Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	3301765	4733520	994	0.1146
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	4739140	46602972	22247	0.0702
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	46603005	49813519	1848	0.1164
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	49814608	50999981	485	0.549
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	51000114	54995454	2170	0.4759
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	54995757	55942924	754	0.5455
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	55943407	71180200	10572	0.1386
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	71181202	71559565	173	0.5361
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	71565883	71649068	66	0.7902
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	71649772	75273250	1936	0.541
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	75276912	76573600	909	0.3907
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	76573640	76661137	73	0.54
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	76681704	79714063	1604	0.1359
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	79714204	81681720	1266	0.5731
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	81690767	82124614	255	0.1181
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	82125923	88012681	3910	0.5473
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	88014413	101531733	8225	0.1287
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	101533421	102071851	412	0.5494
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	102074940	102187221	67	0.8298
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	102190128	102934758	305	0.5283
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	102935477	103982589	361	0.85
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	103986156	108157474	2479	0.5476
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	108168646	108544068	62	0.8387
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	108547737	111924656	2048	0.5009
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	111925002	117057848	3345	0.7772
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	117058616	119362417	1308	0.5401
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	119364557	119979137	414	0.9385
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	119979978	149906351	6	0.5585
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	149907993	152020589	870	0.0399
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	152021024	152902721	466	0.5409
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	152903377	153155956	179	0.7419
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	153156013	155336546	1079	0.8787
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	155336880	155840676	199	0.7402
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	155844400	155973008	57	0.6713
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	155982706	160656246	2919	0.4938
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	160656271	160795410	103	0.7052
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	160795887	161476338	328	0.4209
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	161476341	161739329	68	0.7971
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	161739343	164660173	2193	0.5368
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	164661993	164806218	121	0.8316
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	164808192	164990099	180	0.5238
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	164993226	165614631	617	0.7483
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D07_1361500	1	165617682	165653758	19	0.3057
