Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	3301765	19765862	9265	-0.4683
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	19766132	19769795	3	-2.2988
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	19772616	29991573	5022	-0.4519
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	29992540	29993005	3	-2.207
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	29994575	32051319	1144	-0.4338
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	32055847	32239184	63	0.0027
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	32239514	39756243	4047	-0.4571
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	39757991	42140598	1375	0.0702
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	42142729	42555272	224	-0.4415
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	42563672	45850516	1769	0.0503
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	45852675	46336911	104	-0.4382
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	46338818	47285345	502	0.0672
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	47291511	48502184	788	-0.4733
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	48508685	49719356	665	0.0449
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	49719403	50208731	219	-0.4725
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	50210705	50243885	22	0.1364
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	50246918	50254319	8	-0.6255
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	50256554	51583987	499	0.0425
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	51585116	51676964	32	-0.3052
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	51683577	51699150	9	0.1702
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	51699553	51722041	10	-0.4635
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	51725763	51864260	54	0.0553
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_D08_1231216	1	51868375	51898624	22	-0.5583
