Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	3301765	27919941	13178	-0.5556
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	27923172	27933809	5	-3.5447
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	27933815	89256983	36517	-0.5493
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	89257661	89259539	3	-2.8064
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	89260909	113623939	14230	-0.5645
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	113625158	113630788	2	-2.5338
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	113631057	119984772	3952	-0.5554
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	149906351	152298587	996	0.6709
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	152302521	153046940	446	0.7916
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	153047149	156138228	1459	0.6921
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	156140888	161970464	3493	0.2294
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	161972701	161972719	2	-2.6822
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	161973268	183428764	14478	0.2329
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	183431030	200671753	10281	0.2046
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	200676685	219507016	12686	0.2341
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	219512124	219525858	17	-0.6411
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	219526183	219549276	22	0.2711
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	219551897	219959773	282	-0.5316
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	219962861	225801413	3505	0.2273
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	225827940	239971402	9564	-0.571
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	239972472	239972633	2	-2.7287
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	1	239973057	247650984	4355	-0.5583
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	2	480597	40909625	24206	0.2259
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	2	40909735	40913512	2	-1.4755
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	2	40917939	41607201	330	0.218
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	2	41607319	41607728	2	-1.7073
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	2	41608291	73919850	18871	0.2131
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	2	73920500	73920691	2	-1.4135
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	2	73923129	117514831	18507	0.2102
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H01_1362410	2	117515892	132668422	7351	0.2359
