Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	SSU72	chr1	1508983	1509154	-0.806	-1.0117685563385	0.242	-0.919	171	0.302048950463515	0.998701464932999	loss	380.426	684.557	1157.433	224.541	-1.083	-0.31	2
2	0	PRDM16	chr1	3003378	3003530	-1.044	-1.34662834718762	0.17	-1.079	152	0.169559215734658	0.998701464932999	loss	263.84	555.474	802.257	182.169	-1.263	-0.634	2
3	0	-	chr1	4510014	4510179	-0.874	-1.19327302687528	0.236	-0.815	165	0.223531104015592	0.998701464932999	loss	281.427	501.784	855.836	164.546	-1.431	-0.585	1
4	0	NPHP4	chr1	6011254	6011432	-1.622	-1.68462858352904	0.152	-1.661	178	0.0857242345113856	0.998701464932999	loss	378.216	1190.894	1150.702	390.745	-1.8	-1.106	2
5	0	CAMTA1	chr1	7503172	7503356	-1.004	-1.15225860125962	0.082	-1.006	184	0.239852469985768	0.998701464932999	loss	413.499	830.917	1258.19	272.583	-1.162	-0.807	2
6	0	CA6	chr1	9032923	9033107	-0.469	-0.693960342731196	0.138	-0.507	184	0.479025509155757	0.998701464932999	loss	420.692	590.366	1280.103	193.623	-0.695	-0.174	2
7	0	NMNAT1	chr1	10032085	10032279	-0.558	-0.699488045940798	0.211	-0.646	194	0.475530671335866	0.998701464932999	loss	507.404	760.034	1544.268	249.316	-0.83	-0.07	2
8	0	NMNAT1	chr1	10035603	10035862	-0.222	-0.444195121114303	0.144	-0.26	259	0.650477447242253	0.998701464932999	loss	466.102	552.554	1418.444	181.211	-0.546	0.123	2
9	0	NMNAT1	chr1	10041039	10041259	-0.293	-0.626103168457933	0.189	-0.291	220	0.523048430854434	0.998701464932999	loss	338.023	416.403	1028.255	136.52	-0.604	0.042	1
10	0	NMNAT1	chr1	10042312	10042793	-0.28	-0.622291222169613	0.253	-0.382	481	0.525581661923717	0.998701464932999	loss	324.695	411.195	987.651	134.81	-0.646	0.335	1
11	0	-	chr1	10517838	10517977	-0.822	-1.04582052048688	0.179	-0.824	139	0.28606938951734	0.998701464932999	loss	363.812	650.371	1106.82	213.319	-1.437	-0.51	2
12	0	MFN2	chr1	12042648	12042831	-0.446	-0.603530373372935	0.117	-0.481	183	0.538139975614539	0.998701464932999	loss	511.601	701.965	1557.055	230.255	-0.599	-0.092	2
13	0	LRRC38	chr1	13801714	13801869	-1.342	-1.46236144712992	0.147	-1.376	155	0.13578450265052	0.998701464932999	loss	374.869	967.18	1140.503	317.311	-1.572	-0.994	2
14	0	KAZN	chr1	15011427	15011610	-0.653	-0.847275971206162	0.14	-0.689	183	0.387445289230467	0.998701464932999	loss	423.238	675.404	1287.858	221.536	-0.834	-0.274	2
15	0	-	chr1	16517099	16517252	-0.677	-0.864325285402402	0.092	-0.646	153	0.377965737556985	0.998701464932999	loss	431.671	687.842	1313.549	225.619	-0.857	-0.533	2
16	0	-	chr1	18026103	18026277	-1.398	-1.51051222585694	0.104	-1.411	174	0.123367796882768	0.998701464932999	loss	374.203	996.672	1138.477	326.992	-1.565	-1.191	2
17	0	UBR4	chr1	19504014	19504193	-0.997	-1.17722067708387	0.149	-1.042	179	0.229821783537133	0.998701464932999	loss	375.978	765.278	1143.883	251.037	-1.195	-0.645	2
18	0	KIF17	chr1	21016506	21016620	-1.266	-1.35443218634928	0.119	-1.294	114	0.167100152621816	0.998701464932999	loss	428.646	1034.583	1304.333	339.436	-1.414	-0.972	2
19	0	-	chr1	22502230	22502411	-0.821	-0.997071813053232	0.067	-0.824	181	0.309125783874774	0.998701464932999	loss	416.893	737.255	1268.53	241.839	-0.979	-0.639	2
20	0	-	chr1	24013256	24013395	-0.287	-0.622969447103272	0.179	-0.34	139	0.525130488676435	0.998701464932999	loss	333.875	414.719	1015.619	135.967	-0.616	0.151	1
21	0	SRRM1	chr1	24969730	24969906	-1.542	-1.87687525837746	0.168	-1.499	176	0.0555566541610071	0.998701464932999	loss	193.05	557.765	586.597	182.921	-1.976	-1.251	1
22	0	SRRM1	chr1	24972418	24972600	-1.021	-1.17521542551861	0.104	-1.029	182	0.230616373203297	0.998701464932999	loss	405.597	818.91	1234.115	268.642	-1.193	-0.792	2
23	0	SRRM1	chr1	24973111	24973314	-1.373	-1.40714596586883	0.201	-1.377	203	0.151186758745529	0.998701464932999	loss	464.199	1230.703	1412.645	403.812	-1.671	-0.859	2
24	0	SRRM1	chr1	24975302	24975527	-0.597	-0.866474270764968	0.235	-0.521	225	0.376781107816894	0.998701464932999	loss	354.194	542.067	1077.52	177.769	-1.046	-0.083	2
25	0	SRRM1	chr1	24976413	24976610	-0.446	-0.798910643834083	0.166	-0.456	197	0.415115353066014	0.998701464932999	loss	300.071	414.962	912.635	136.047	-0.742	-0.125	1
26	0	SRRM1	chr1	24977852	24978128	-0.951	-1.25519684764495	0.222	-0.912	276	0.20041951613203	0.998701464932999	loss	279.911	535.931	851.217	175.754	-1.655	-0.637	2
27	0	SRRM1	chr1	24978898	24979153	-0.788	-1.09796031190997	0.423	-0.968	255	0.262727005016445	0.998701464932999	loss	282.32	520.89	858.557	170.817	-1.376	0.231	2
28	0	SRRM1	chr1	24979352	24979556	-0.883	-1.151806042915	0.095	-0.868	204	0.240037129363994	0.998701464932999	loss	316.518	581.366	962.74	190.668	-1.103	-0.715	2
29	0	SRRM1	chr1	24981296	24981643	-0.603	-0.865264183961127	0.122	-0.588	347	0.377447887074181	0.998701464932999	loss	361.898	552.031	1100.988	181.039	-0.881	-0.329	2
30	0	SRRM1	chr1	24987148	24987306	-0.98	-1.23622758811907	0.08	-0.981	158	0.207306048664787	0.998701464932999	loss	313.379	615.61	953.177	201.909	-1.202	-0.777	2
31	0	SRRM1	chr1	24987743	24987927	-0.835	-1.07896150377201	0.3	-0.964	184	0.271075451181888	0.998701464932999	loss	334.802	625.557	1018.44	205.174	-1.221	-0.347	2
32	0	SRRM1	chr1	24989159	24989323	-1.515	-1.58775859819173	0.163	-1.482	164	0.105321407537347	0.998701464932999	loss	395.403	1131.256	1203.061	371.169	-1.818	-1.282	2
33	0	SRRM1	chr1	24993269	24993450	-0.855	-1.22585452928582	0.249	-0.892	181	0.21114368673718	0.998701464932999	loss	242.693	438.432	737.834	143.75	-1.347	-0.292	1
34	0	SRRM1	chr1	24995562	24996078	-0.582	-0.934968501302826	0.282	-0.658	516	0.340230485819709	0.998701464932999	loss	283.074	431.847	860.853	141.589	-1.431	0.059	1
35	0	SRRM1	chr1	24996564	24996834	-0.894	-1.13365125030788	0.089	-0.903	270	0.247527685454348	0.998701464932999	loss	339.189	632.443	1031.807	207.434	-1.066	-0.656	2
36	0	SRRM1	chr1	24997905	24998124	-0.067	-0.522546711745492	0.342	-0.12	219	0.594018933181719	0.998701464932999	loss	264.442	277.112	804.091	90.797	-0.637	0.752	1
37	0	SRRM1	chr1	24998621	24998811	-0.725	-0.930818153405912	0.171	-0.788	190	0.34237836880144	0.998701464932999	loss	395.115	669.725	1202.184	219.672	-1.033	-0.406	2
38	0	-	chr1	25508091	25508212	-1.466	-1.48162570094341	0.154	-1.533	121	0.130705696778383	0.998701464932999	loss	469.993	1312.064	1430.298	430.519	-1.675	-1.088	2
39	0	-	chr1	27004239	27004416	-0.551	-0.808339697521133	0.206	-0.631	177	0.409631170320446	0.998701464932999	loss	374.785	551.411	1140.249	180.836	-0.806	0.022	2
40	0	RPA2	chr1	28218618	28218774	-0.752	-0.942626959115217	0.117	-0.777	156	0.33628981219949	0.998701464932999	loss	413.841	695.709	1259.231	228.201	-0.977	-0.486	2
41	0	RPA2	chr1	28220469	28220652	-0.407	-0.769634398845296	0.067	-0.399	183	0.432417383098219	0.998701464932999	loss	300.273	396.181	913.251	129.882	-0.589	-0.257	1
42	0	RPA2	chr1	28220749	28220942	-0.958	-1.14387551113744	0.072	-0.951	193	0.243289332055614	0.998701464932999	loss	382.058	741.858	1162.404	243.35	-1.141	-0.769	2
43	0	RPA2	chr1	28223469	28223649	-0.885	-1.06711488508812	0.099	-0.898	180	0.276372141962616	0.998701464932999	loss	398.368	737.05	1212.094	241.771	-1.122	-0.582	2
44	0	RPA2	chr1	28224079	28224267	-0.715	-1.02641580260184	0.192	-0.759	188	0.29510404962633	0.998701464932999	loss	297.357	502.694	904.367	164.844	-0.998	-0.318	2
45	0	RPA2	chr1	28233387	28233580	-0.83	-1.04876619802948	0.116	-0.846	193	0.284714423420766	0.998701464932999	loss	367.067	661.09	1116.736	216.838	-1.01	-0.417	2
46	0	RPA2	chr1	28233643	28233829	-0.562	-0.930730654734614	0.166	-0.542	186	0.342423744135265	0.998701464932999	loss	274.688	410.365	835.306	134.538	-0.945	-0.099	1
47	0	RPA2	chr1	28240526	28240713	-1.175	-1.45432754675531	0.274	-1.127	187	0.137947048667971	0.998701464932999	loss	262.049	610.618	796.802	200.27	-1.643	-0.627	2
48	0	RPA2	chr1	28240848	28241029	-0.897	-1.1680510161851	0.148	-0.909	181	0.233471247237412	0.998701464932999	loss	307.628	584.815	935.657	191.8	-1.144	-0.545	2
