Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	3301765	45894382	22965	0.154
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	46129164	46182228	26	0.8419
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	46183220	51754465	2825	0.1761
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	51757881	58156925	4442	0.1525
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	58157189	70739693	8519	0.1846
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	70740403	119984772	29243	-0.5225
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	149906351	155561258	2680	0.2545
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	155566213	186591846	20146	0.2784
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	186592132	186596875	3	-0.9522
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	186603449	221194836	22089	0.2809
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	221195015	221199385	2	-1.4025
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	221199825	232925904	7143	0.2867
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	1	232929890	247650984	9580	0.2564
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	2	480597	199984173	107077	0.1804
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	2	199985679	200190653	114	0.652
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	2	200194648	206936184	3881	0.1922
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	2	206938824	207001953	45	0.6485
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	2	207010464	215176741	4823	0.1751
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	2	215181055	227593393	7991	0.1982
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	2	227594201	241537572	8198	0.1707
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	3	2170634	197812401	107123	0.1871
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	1059384	12916669	6832	0.1772
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	12916792	15576184	1987	0.2328
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	15576925	22298649	4494	0.1726
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	22301836	25080968	1844	0.2182
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	25081287	41591185	9962	0.1797
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	41593851	46034221	2207	0.1352
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	46041844	54686880	2929	0.1804
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	54688815	68339208	7716	-0.5493
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	68339321	69760490	217	0.1563
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	69764925	70394875	341	-0.5314
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	70395050	159604350	50119	0.178
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	159604378	179697098	10891	0.1516
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	4	179699397	187842528	3901	0.1693
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	914118	38855801	22471	-0.5551
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	38856166	97692155	29397	-0.5201
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	97692307	97692380	3	-2.5309
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	97692725	128583185	16952	-0.5146
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	128584165	128584842	3	-2.1749
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	128587254	133065472	2356	-0.5285
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	133065760	149404835	9908	-0.5492
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	149404876	149405886	2	-2.9775
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	149408638	175687922	17347	-0.5436
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	175692430	175698484	10	-2.791
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	5	175701414	180934240	2172	-0.5972
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	1011760	56504066	33762	0.1876
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	56505218	56835663	169	-0.5204
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	56845183	61524632	224	0.192
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	61527062	61823500	65	-0.564
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	61823514	61992273	112	0.1613
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	61995403	62832720	374	-0.5216
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	62832780	63048458	105	0.2009
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	63048473	63104323	35	-0.4456
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	63106999	63322215	122	0.1833
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	63328161	65378791	982	-0.5076
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	65381358	65661440	200	0.194
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	65670018	111242705	25587	-0.5283
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	111242829	111340899	58	-0.0452
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	111341365	149755121	22944	-0.5204
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	6	149759252	170596889	12132	-0.558
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	7	664936	36077827	20250	0.1895
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	7	36084254	37893457	1384	0.1291
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	7	37894038	53140373	9803	0.183
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	7	53140478	77246514	7302	0.1531
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	7	77247322	97084207	10912	0.1942
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	7	97086205	102807005	2201	0.1529
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	7	102807165	137881777	19518	0.1942
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	7	137881780	158592540	10611	0.166
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	8	667625	51535768	27537	0.1776
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	8	51537922	51561238	13	-0.5557
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	8	51582597	61378148	6018	0.1779
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	8	61380729	61386077	8	-0.5746
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	8	61389166	144182542	48563	0.1817
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	789794	11003454	6155	-0.5315
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	11003940	11020591	11	-1.4418
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	11020848	32459411	13480	-0.5164
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	32459452	38752071	3838	-0.5572
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	68423153	75035532	4534	0.1952
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	75037688	80491063	3985	0.1558
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	80491247	88314304	5416	0.1936
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	88320072	88321310	3	-1.0715
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	88321998	101201538	8094	0.1728
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	101202165	101202368	2	-1.6429
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	101202906	106648648	3230	0.1868
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	106649750	106943783	196	-0.4962
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	106947268	108091033	928	0.2035
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	108091224	108091622	2	-1.2197
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	108091626	116417758	5849	0.1975
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	116418065	124350965	5643	0.1661
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	124353823	124356107	2	-1.2409
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D12_1321018	9	124356893	138044505	6992	0.1603
