Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	3301765	91089812	51094	0.0015
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	91091100	91113226	13	-0.643
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	91117297	102190128	6796	-0.0073
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	102393290	103524378	568	1.8066
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	103793015	106676768	1488	-0.0555
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	106679096	118168457	7176	0.001
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	118168639	118645706	278	-0.0527
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	118646199	118649818	2	0.4424
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	118681663	119730450	655	1.7859
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	119733776	119984772	144	2.2392
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	1	149906351	247650984	61715	0.4727
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	480597	50526541	30411	-0.0361
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	50526557	51376786	270	0.2032
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	51380767	58167408	3566	-0.0543
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	58180452	58265306	44	0.457
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	58265455	79578331	11976	-0.041
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	79580898	79740499	121	0.5022
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	79740949	79780377	43	-0.025
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	79783249	79789821	17	0.4184
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	79791741	84112790	2497	-0.0564
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	84113315	84739345	401	0.6021
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	2	84745786	241537572	82922	-0.0417
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	2170634	3178887	440	-0.8768
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	3178950	3187056	11	-4.1882
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	3190212	3303414	117	-0.9471
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	3303589	3303605	2	-3.0809
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	3303781	4576639	759	-0.9004
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	4582718	4658339	66	0.0225
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	4658817	9603160	2955	-0.9066
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	9603384	30395583	12475	-0.3168
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	30398988	30948818	424	0.1049
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	30949197	31623913	466	-0.2766
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_F01_1306260	3	31624633	32410335	544	0.1273
