Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	1	3301765	15313085	6844	0.1027
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	1	15315047	15805336	220	0.2465
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	1	15805374	47727082	16800	0.1154
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	1	47727533	119969243	44321	0.1445
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	1	119974504	161714779	6229	0.001
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	1	161714831	229114440	43199	0.0245
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	1	229115810	229243698	122	0.3902
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	1	229248178	247650984	12140	0.0193
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	480597	6767723	3766	-0.0692
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	6768481	7067864	243	0.1791
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	7072462	19590790	8517	-0.0581
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	19591515	19591533	2	-1.2497
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	19592125	20606576	733	-0.0771
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	20606693	20610660	2	-1.5134
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	20610826	85109096	36243	-0.0626
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	85109946	98361291	2355	0.1423
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	98372599	105529850	4363	0.1802
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	105529918	105535647	2	1.3547
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	105535795	122171122	8530	0.1769
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	122172128	227238986	59055	0.1969
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	2	227240441	241537572	8394	0.1691
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	2170634	54361777	30061	-0.2879
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	54363705	59059438	3054	-0.0085
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	59069109	59110450	21	-0.3558
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	59113215	59171440	24	0.0175
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	59171534	72426090	8848	0.1081
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	72426164	77261362	2697	-0.3507
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	77263702	78641997	780	0.235
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	78643126	81170906	1372	0.1156
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	81177283	81235122	45	-0.3331
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	81245407	134466285	27429	0.0984
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	134472598	142375789	4303	-0.3651
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	142375835	143498977	461	0.0792
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	143504304	146587106	1773	-0.3644
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	146588683	146642742	48	0.1732
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	146645613	151717160	2521	-0.0414
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	151721014	151721014	2	-1.2671
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	151722018	162539099	5848	-0.0408
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	162542687	162542960	2	-1.3519
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	162543233	194175394	16766	-0.0443
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	3	194177407	197812401	1123	0.1813
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	1059384	4491065	1368	-0.4114
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	4494765	4581173	67	0.2235
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	4582184	4592186	6	-0.309
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	4595375	4930375	255	0.1805
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	4931327	4947344	29	-0.371
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	4947446	10142835	3008	0.1553
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	10143672	33648185	15601	0.181
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	33649670	53895915	9292	0.1613
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	53897364	54280222	247	-0.011
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	54280458	63292904	5296	0.0297
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	63293751	63294605	2	-1.1898
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	63304759	69809663	3094	0.0267
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	69809886	71028110	622	0.12
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	71028147	123085371	29877	0.025
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	123089422	125139614	1179	0.089
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	125142864	142691588	9354	0.0203
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	4	142693109	187842528	24223	-0.0388
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	913983	87405286	46700	0.1664
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	87416824	87448949	19	-0.7473
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	87452868	87529289	27	-0.3701
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	87530933	87606760	34	-0.6863
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	87607761	126489387	21168	0.1838
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	126489569	138950265	7292	0.1625
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	138959143	138969813	6	-0.6182
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	138975764	169314520	19363	0.1729
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	169314948	169314956	2	-1.1054
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	5	169317147	180934240	6533	0.1542
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	6	1011760	9077282	5980	0.196
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	6	9079502	10241589	787	0.2618
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	6	10242978	25837392	10658	0.2027
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	6	25839313	31129676	1918	0.183
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	6	31131055	31169883	31	-0.0952
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	6	31175734	37463981	2482	0.1563
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C06_1320982	6	37466048	39351854	1369	0.1979
