Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	1	3301765	4710844	976	-0.2615
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	1	4713206	104271920	57786	-0.2282
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	1	104275078	107402333	1743	-0.2674
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	1	107402408	173888340	22894	-0.2177
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	1	173891044	173891392	2	-1.6758
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	1	173893488	226423688	32919	-0.2185
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	1	226424322	247650984	13715	-0.23
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	2	480597	6653801	3670	-0.2578
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	2	6654281	15217161	5788	-0.2247
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	2	15219215	16842485	1142	-0.2544
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	2	16845507	16856053	10	0.2971
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	2	16856441	88831554	40244	-0.2318
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	2	94675825	241537572	81572	0.2284
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	3	2170634	10928956	5164	-0.2262
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	3	10931199	10931225	2	-1.4754
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	3	10932470	36262679	15331	-0.2166
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	3	36262773	36262779	2	-1.9161
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	3	36262791	43958869	4593	-0.2101
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	3	43962228	43962745	2	-1.8401
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	3	43964842	197812401	82247	-0.221
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	1059384	20946436	12329	-0.2476
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	20946712	20946715	2	-1.5626
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	20946874	37399153	10275	-0.2488
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	37400480	39966077	1637	0.2246
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	39968732	48067890	4171	-0.2438
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	51832470	124538250	41270	0.2189
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	124539196	124541780	3	-1.1174
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	124541870	177731439	29245	0.2176
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	177734239	177734414	3	-0.71
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	4	177737342	187842528	4780	0.216
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	5	913983	31993116	18780	-0.2566
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	5	31993716	161164525	70636	-0.236
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_E07_1486312	5	161164812	180934240	11874	-0.2495
