Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	3301765	7901234	2982	-0.6933
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	7913248	10446134	1183	0.1204
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	10448079	11048996	296	-0.6802
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	11058087	11077295	9	0.1694
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	11080386	11139159	31	-0.7246
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	11143046	15596141	2489	0.1645
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	15606437	17324203	571	0.0962
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	17328912	18890213	1167	0.1829
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	18890631	19175207	170	-0.7035
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	19186019	19415660	133	0.1469
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	19417308	19732102	217	-0.6807
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	19733872	19991376	192	0.1582
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	19994525	20030164	14	-0.6138
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	20030648	20071484	25	0.1543
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	20072559	20074128	4	-0.5409
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	20076605	20177217	66	0.1346
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	20182972	20540242	243	-0.7015
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	20541457	20564785	15	0.1374
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	20565333	20662264	77	-0.7334
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	20664946	20676373	11	0.232
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	20677979	21281995	291	-0.7503
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	21287656	21565250	106	0.1614
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	21567814	21677300	78	-0.6643
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	21679056	22286197	283	0.1716
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	22289247	22369573	41	-0.6515
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	22371954	23434980	655	0.1377
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	23439314	23468289	24	-0.7599
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	23473390	26200951	1260	0.1361
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	26212399	31244722	2424	-0.6944
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	31249109	31249715	2	-3.1002
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	31249774	31408790	82	-0.6802
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	31409912	31495473	47	0.1156
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	31514697	31550174	27	-0.6616
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	31550869	31646788	47	0.1536
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	31647850	31722314	41	-0.6552
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	31725572	33148561	557	0.1134
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	33150007	33158807	4	0.8016
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	33159523	38793002	3270	0.1568
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	38793186	41077215	1096	0.1134
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	41081304	41248412	73	-0.7413
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	41251116	41520395	177	0.1659
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	41522963	41623034	82	-0.6849
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	41623878	42648313	659	0.128
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	42655150	43034005	229	-0.7284
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	43038469	47225013	2053	0.1351
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	47227548	50972693	2004	0.1709
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	50973481	52978229	874	0.0913
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	52979498	64436772	8221	0.1528
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	64436800	92707570	17345	0.1247
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	92711266	111237559	10623	-0.7254
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	111237737	111238509	4	-2.2987
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	111239264	119984772	5551	-0.7132
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	149906351	173883989	15087	0.1204
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	173884969	174060209	101	-0.7762
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	174061622	174092278	12	0.032
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	174100660	174374864	107	-0.7224
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	174384762	174799389	185	0.0716
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	174800072	174822636	16	-0.7364
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	174825006	175051406	116	0.0888
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	175052667	175061984	9	-0.6655
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	175069235	182826487	4867	0.1346
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	182831521	182835324	6	-0.7173
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	182840976	192128110	5551	0.1028
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	192130487	192172707	28	-0.7102
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	192176673	192255691	40	0.0507
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	192258947	192493479	153	-0.7648
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	192496811	192595559	80	0.1873
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	192602981	192998962	256	-0.76
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	193000595	193073118	31	0.0744
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	193075531	193166235	78	-0.6669
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	193166250	194238807	841	0.0946
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	194243354	194274521	12	-0.7619
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	194278172	194360974	49	0.1376
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	194361034	194370269	6	-0.5489
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	194370368	194426151	36	0.2324
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	194427813	200894147	3586	0.1016
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	200894458	201244602	271	0.1884
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	1	201244875	247650984	30043	-0.7168
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	480597	4045879	1644	0.1848
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	4046161	13220013	6536	0.1418
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	13220218	13940260	410	0.0649
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	13941636	23748503	6645	0.1445
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	23749976	24739493	427	0.0803
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	24741626	27167776	1133	0.1299
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	27168189	28305402	505	0.0785
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	28306067	30732220	1600	0.147
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	30732597	30733925	2	-1.1649
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	30734814	38319776	3776	0.1212
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	38323901	38346070	11	-0.7239
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	38360850	71570247	19671	0.1162
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	71570510	72186581	353	0.1957
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	72187533	78085920	3171	0.1171
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	78086623	78087148	4	-0.7836
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	78089381	81508803	1642	0.1207
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	81509067	81534589	25	-0.655
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	81538633	112520283	11925	0.1225
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	112523303	112532428	9	-0.6596
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	112536764	117609625	2496	0.1065
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	117612355	133291521	7751	0.1438
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	133294254	133298402	6	-0.8176
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	133398502	134180483	590	0.1388
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	134181226	163457450	16683	0.0968
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	163457468	179817916	10158	0.1136
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	179818599	197727163	8681	0.0855
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	197727776	197734501	2	1.3815
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	197743625	215336184	10284	0.1044
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	215336465	217926301	1856	0.1574
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	217926457	234459176	10000	0.1213
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	2	234459925	241537572	4271	0.1584
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	2170634	15158999	7979	0.1551
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	15161665	15816100	397	-0.7255
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	15819932	23515532	4063	0.114
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	23517719	23834348	186	0.6884
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	23836530	23841830	7	0.114
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	23847320	23874717	23	0.6463
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	23877125	27040272	1992	0.1203
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	27041207	27312323	152	0.6469
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	27312917	27323298	10	0.1168
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	27326090	27547315	101	0.6583
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	27556039	53534890	14561	0.1263
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	53535098	55813866	1819	0.1641
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	55814719	61473657	2689	0.1292
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	61475361	66754369	4041	0.1614
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	66754597	79077860	7714	0.1336
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	79078662	117402415	18749	0.1084
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	117402519	124026159	3720	0.136
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	124036247	124056053	10	-0.7073
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	124061189	125887674	1159	0.1492
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	125888071	127704933	1107	0.1847
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	127704934	133187442	3086	0.1223
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	133189653	133297060	78	-0.7163
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	133313789	141958418	4960	0.1445
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	141967908	192739147	26674	0.1138
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	3	192749171	197812401	1956	0.1408
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	1059384	3265941	880	0.1305
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	3266122	11624596	5067	0.1781
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	11626373	26063014	9849	0.132
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	26067148	40291538	8538	0.1089
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	40291667	42146685	1151	0.1357
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	42147298	42163971	6	-0.7022
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	42169056	63044097	9684	0.1239
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	63049477	63255715	27	0.6293
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	63292904	113297046	28075	0.1065
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	113297634	113560203	161	0.6159
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	113562273	123289779	5465	0.1051
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	123293695	123305235	8	-0.76
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	123308242	136614645	6536	0.1043
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	136622339	136699366	40	-0.7326
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	136703669	169034225	18491	0.1107
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E09_1306198	4	169039073	169158068	78	0.6596
