Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	3301765	24635730	11960	0.1513
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	24640674	24641799	2	-1.5794
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	24644578	45591642	10912	0.1434
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	45597382	68765831	14922	0.1243
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	68770697	108606254	23378	0.1097
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	108606302	115759971	4448	0.1412
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	115760302	115760460	2	-1.1297
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	115763945	185607909	24955	0.1217
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	185608459	200205248	8564	0.0983
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	200205567	200411410	159	-0.6388
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	200414346	205021707	3071	0.1478
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	205023728	205392341	251	0.5013
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	1	205395721	247650984	27377	0.1232
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	2	480597	48965565	29394	0.1095
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	2	48966329	54823335	2975	0.0767
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	2	54824690	75741147	12168	0.1061
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	2	75741725	84600829	4752	0.0823
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	2	84600878	138976454	23625	0.1101
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	2	138976837	147347584	4767	0.0779
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	2	147347947	241537572	54667	0.1085
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	2170634	16210009	8668	0.1526
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	16210071	36850436	12188	0.1324
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	36850918	74004617	22330	0.1475
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	74004631	111185199	17356	0.1133
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	111189548	111196057	7	-0.722
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	111199078	114274671	1873	0.1274
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	114284805	114309786	16	-0.5212
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	114315251	118706637	2955	0.1182
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	118706699	130978730	6781	0.1525
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	130979426	186145386	28730	0.1277
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	186146789	188179854	1470	0.1765
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	188180923	193707960	3505	0.1134
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	3	193708267	197812401	1427	0.1614
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	4	1059384	11024628	5434	0.1544
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	4	11025433	52872244	23532	0.1282
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	4	52872349	52872357	2	-1.7972
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	4	52873095	171631808	66533	0.1295
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	4	171638659	171658119	11	-0.4633
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	4	171659849	187842528	8144	0.1355
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	5	913983	18542601	11418	0.1345
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	5	18544234	31569369	7046	0.1048
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	5	31571204	45383300	7725	0.1323
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	5	50828231	58616021	4922	-0.5796
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E02_955548	5	58617552	58624221	4	-2.6442
