Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	1	3301765	29975370	14320	0.2507
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	1	29987723	29992809	7	-0.7754
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	1	29993005	57632122	15514	0.2557
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	1	57634523	57671607	31	-0.346
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	1	57675202	92721438	22101	0.2723
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	1	92721867	92850300	50	-0.2984
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	1	92855312	247650984	77814	0.2672
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	2	480597	122485139	64977	-0.093
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	2	122489393	122580584	66	-0.6587
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	2	122581358	239120700	65744	-0.0856
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	2	239123352	239255040	90	-0.3645
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	2	239255512	241537572	1307	-0.1004
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	2170634	39752162	22660	0.1166
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	39753554	39776003	17	-0.3845
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	39776466	69831562	17491	0.1135
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	69832122	70032446	162	0.3038
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	70038194	118152844	24659	0.1224
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	118153037	118153755	4	-0.9686
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	118158563	163880709	24816	0.1165
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	163887032	163887310	2	-1.5292
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	3	163888968	197812401	17377	0.1155
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	4	1059384	42900717	25981	0.283
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	4	43321532	140255844	51804	0.1189
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	4	140260890	182075884	23261	-0.3373
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	4	182080062	182115761	36	-1.006
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	4	182120410	187842528	2465	-0.339
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	5	913983	986593	31	0.1406
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	5	987220	26368688	15310	0.2673
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	5	26369345	175695053	83616	0.1015
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	5	175696148	175697957	2	-1.9392
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	5	175697978	180934240	2202	0.0805
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	6	1011760	16057286	10735	0.2602
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	6	16057312	16605180	390	0.4005
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	6	16605388	33445241	8516	0.261
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	6	33445711	55225809	13333	0.0923
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	6	55226652	55546490	225	-0.086
RUNIC_p_2TCGA235_237_250_242_mN_GenomeWideSNP_6_F07_1231180	6	55549370	61646249	1019	0.0853
