Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	1	3301765	149991322	68160	0.0637
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	1	149993982	208062467	35784	0.1423
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	1	208063842	208063929	2	-1.8394
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	1	208064332	247650984	25814	0.1477
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	2	480597	229250328	125012	0.0268
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	2	229250622	229255262	3	-1.9692
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	2	229257531	241537572	7101	0.0242
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	3	2170634	96404124	52466	0.0321
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	3	96408629	193645967	53148	-0.1519
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	3	193645993	197812401	1475	0.0327
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	4	1059384	47483094	27998	0.028
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	4	47485923	47486898	3	-1.4997
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	4	47487407	48029319	321	-0.014
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	4	48029482	78344448	14966	0.0653
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	4	78344642	187842528	60167	0.0263
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	5	913983	180934240	101042	-0.0885
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	6	1011760	170596889	97125	0.0302
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	7	664936	77156835	38652	0.0297
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	7	77161900	158592540	43315	0.1302
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	8	667625	16192747	7928	0.0193
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	8	16192765	16194000	2	-1.9158
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	8	16194236	19938164	2826	0.0362
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	8	19944891	38828850	11820	-0.1535
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	8	38830019	144182542	59565	0.0275
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	9	789794	872798	86	-0.0647
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	9	872962	38703942	23459	-0.1511
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	9	38704683	127719873	39828	-0.0656
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	9	127720588	127749773	11	-0.8293
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	9	127750122	131718921	2139	-0.0754
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	9	131719498	131720970	2	-2.1584
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	9	131721288	138044505	2914	-0.0864
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	10	366509	38660948	26264	-0.1544
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	10	38663748	49807598	3491	0.0276
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	10	49810384	52326124	1213	0.1956
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	10	52326814	87902461	21623	-0.036
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	10	87905782	133411599	28673	-0.1573
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	11	456012	134272740	77643	0.0196
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	12	780472	132605822	74355	0.0274
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	13	18874255	42229933	14917	0.0338
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	13	42229947	46441035	2533	-0.1524
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	13	46444498	56309029	4824	0.0235
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	13	56309733	56316854	2	-2.0305
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	13	56318230	89298442	18406	0.0224
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	13	89298832	89309306	4	-1.7288
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	13	89310481	114226675	16285	0.0245
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	14	20033191	105533894	49758	0.0279
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	15	23437561	101344124	44774	0.029
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	16	603333	29129367	13411	0.0277
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	16	29135106	29137904	2	-1.7725
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	16	29138825	31841585	645	0.0197
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	16	46470502	66623568	13218	-0.1041
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	16	66624451	78230210	6318	-0.0692
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	16	78230335	87792164	7317	-0.1062
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	16	87795317	87799862	2	-2.0539
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	16	87801337	89317317	278	-0.1506
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	17	1074619	82959812	37292	0.0261
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	18	326691	79349796	42917	0.0269
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	19	283868	27882042	9144	-0.0894
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	19	27884549	58370362	15062	0.0181
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	20	472817	18833519	12163	0.0316
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	20	18833933	18844160	6	-0.9993
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	20	18844459	20337922	1299	0.0261
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	20	20338258	20343661	4	-1.9912
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	20	20343697	63344026	24045	0.0243
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	20	63344226	63345036	2	-2.4836
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	20	63357759	63588502	60	0.058
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	21	13974127	46262057	20771	0.0253
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	22	16934932	48940621	17069	0.0203
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	X	3236359	38254762	15626	0.0164
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	X	38255121	48874231	4997	0.1224
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_D11_1321026	X	48875061	118510174	26712	0.0193
