Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	3301765	57767048	29952	6e-04
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	57768729	108909575	31346	0.0186
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	108909946	149936215	6896	0.0046
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	149948714	177023561	16589	0.2029
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	177026671	177627533	406	-0.2457
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	177629866	188789473	7288	0.2086
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	188803609	189053545	134	0.6104
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	189053842	189815551	318	0.2442
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	189816359	191344603	892	-0.2824
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	191347781	194044911	1784	0.2115
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	194047624	194384786	204	0.5363
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	194385255	195029546	340	0.2139
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	195031622	195208617	129	0.5611
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	195210909	196973325	818	0.2215
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	196983271	204376264	4613	0.5394
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	204380946	204620022	209	0.7579
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	204620046	206139103	963	0.535
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	206142741	209123262	2016	0.2081
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	209131367	209436301	203	-0.2878
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	209436696	217084626	5266	0.2133
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	217084958	217820796	490	0.5536
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	217827061	217831774	2	1.5041
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	217832015	217939601	88	0.5691
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	217942830	221108127	2136	0.2162
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	221126716	229786621	4990	-0.255
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	229786849	229789777	2	0.9649
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	229791098	235658550	4125	-0.2572
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	235661450	235860927	85	-0.5816
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	235869780	240386777	3558	-0.2642
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	1	240388923	247650984	4017	0.2107
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	2	480597	241537572	132193	0.0088
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	3	2170634	197812401	107180	0.0098
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	4	1059384	65701338	36523	0.0099
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	4	65701461	65701480	2	-1.3795
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	4	65703050	136806804	38988	0.0094
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	4	136807763	136807787	2	-1.4015
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	4	136808967	187842528	27999	0.0132
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	5	913983	2812877	935	0.0017
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	5	2814767	45358981	25207	0.0256
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	5	45360996	58815640	5073	-0.0049
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	5	58819279	58875339	44	-0.271
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	5	58876105	180934240	69861	-0.0069
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	6	1011760	26274270	17685	0.2379
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	6	26285194	44639558	8884	0.2178
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	6	44640296	61524631	7607	0.2389
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	6	61524632	170596889	62968	-0.2612
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	7	664936	20342183	9735	0.2156
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	7	20350685	20383120	45	-0.0451
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	7	20385823	52534405	21222	0.2127
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	7	52535284	77269711	7772	0.1904
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	7	77270735	139824572	33656	0.2143
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	7	139828863	158592540	9594	0.1944
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	8	667625	66345027	36406	0.0089
RAZEE_p_TCGA_277_b2_N_GenomeWideSNP_6_C02_1320920	8	66349494	144182542	45787	0.2333
