Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	3301765	19353379	8987	-0.1157
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	19353770	78368747	34139	-0.0968
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	78369213	109819060	18616	-0.1179
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	109819099	109820397	2	-1.4457
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	109821314	119984738	6517	-0.1156
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	119984772	196446127	28801	0.2394
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	196447039	196447817	2	-1.3057
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	196447898	244473659	31651	0.2424
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	244691519	246435044	884	0.6996
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	1	246436444	247650984	437	0.2341
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	2	480597	52139478	31166	0.0252
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	2	52139868	52168329	20	-1.2697
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	2	52171466	241537572	101201	0.0326
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	3	2170634	90015365	51242	0.1217
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	3	90019585	189282889	51892	0.1421
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	3	189284047	197812401	4195	0.1314
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	4	1059384	105541263	58814	-0.2152
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	4	105543988	105544087	2	-2.5659
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	4	105547236	187842528	44836	-0.2125
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	5	913983	180934240	101301	0.1283
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	1011760	61617112	34221	0.0443
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	61617310	64762521	1511	-0.0201
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	64764979	65239567	213	0.0586
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	65240573	66061483	507	0.1334
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	66062196	69565263	2038	0.0399
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	69578557	71895098	1360	-0.3578
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	71895193	72695608	484	0.0529
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	72704162	86637147	7776	-0.3438
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	86637265	86641384	2	-1.9698
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	86641855	110330948	13295	-0.3474
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	110331852	110332497	2	-1.9973
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	6	110333215	170596889	35872	-0.3493
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	7	664936	16273156	8014	0.4935
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	7	16273178	16309138	30	-0.3299
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	7	16363398	88140860	37276	0.4992
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	7	88141882	88151362	8	-0.4047
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	7	88156090	144410509	29182	0.5002
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	7	144410853	144482359	61	0.2264
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	7	144482688	158592540	7566	0.4995
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	667625	96501613	53691	-0.1778
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	96503439	97566349	660	-0.1044
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	97568452	101716131	2350	-0.0516
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	101719071	104656870	1662	0.0061
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	104658280	105065140	276	-0.0588
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	105065244	109009813	2007	-0.0816
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	109011675	118016426	4929	-0.1512
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	118017632	121646608	2478	-0.1105
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	121647252	122952579	902	-0.1499
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	122955586	126359364	2277	-0.0892
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	126361752	126872406	389	-0.059
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	126874795	127680486	611	0.0274
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	127682035	129767448	1467	-0.0462
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	129772486	129772611	4	-1.8292
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	129774491	130875348	701	-0.0299
COMMY_p_TCGA_194_198_SNP_N_GenomeWideSNP_6_E10_955670	8	130875806	144182542	7913	-0.122
