Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	3301765	18804756	8674	0.0769
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	18805139	57863922	21345	0.1085
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	57870386	62801139	3416	0.1545
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	62806788	104285550	25264	0.1808
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	104285720	149914031	9484	0.1496
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	149918981	159692839	5119	0.3399
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	159693615	183814069	16020	0.3853
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	183814668	187655033	2400	0.438
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	187655052	192358857	2623	0.3645
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	192359083	192782288	307	0.4749
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	192784909	193712800	695	0.4047
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	193712816	197726957	2118	0.3514
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	197730509	200937345	1973	0.4046
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	200941404	213695084	8528	0.364
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	213695178	225705613	7835	0.3904
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	1	225706672	247650984	14046	0.3534
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	480597	11957234	7262	-0.1862
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	11958143	13389728	1018	-0.1063
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	13394851	13409547	2	1.1862
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	13409603	14087845	409	-0.1302
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	14088035	34309891	12086	-0.1644
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	34312736	34328810	15	-0.7877
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	34331532	41950666	4086	-0.1374
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	41951185	41952043	2	-2.3344
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	41953772	52691462	6382	-0.156
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	52691536	54511096	903	-0.1008
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	54511255	75049603	11893	-0.1628
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	75049961	76020026	592	-0.0894
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	76020403	123190987	20871	-0.1675
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	123191878	123191894	2	-1.6698
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	123194716	127451909	1696	-0.1412
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	127452824	131050367	1785	-0.1957
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	131052140	141821336	5595	-0.1495
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	141823033	161930024	11596	-0.1265
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	161931361	165838467	2132	-0.0843
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	165838777	217459549	29305	-0.1227
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	217462078	220962736	2092	-0.1696
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	220963488	227664501	4353	-0.1157
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	227668939	238173986	6320	-0.1787
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	238174262	238174660	5	-1.179
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	2	238177046	241537572	1806	-0.2074
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_E12_1362446	3	2170634	4962849	1655	0.1397
