Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	1	3301765	247650984	129823	-0.0127
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	2	480597	192355963	103600	-0.0147
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	2	192356067	192455027	52	0.3821
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	2	192501762	233753288	23651	-0.0133
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	2	233753617	233754396	2	-1.3091
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	2	233754399	241537572	4882	-0.0226
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	3	2170634	40822675	23289	-0.0155
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	3	40822867	40824581	3	-1.378
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	3	40828504	43651786	1576	-0.0226
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	3	43653776	43781249	76	-0.6749
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	3	43781480	197812401	82232	-0.0164
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	4	1059384	54477110	30068	-0.021
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	4	54478337	54678667	177	0.4799
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	4	54678682	54691981	41	0.2675
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	4	54692188	54701034	66	0.5135
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	4	54701048	54716287	28	0.2801
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	4	54716309	54849074	110	0.5274
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	4	54853621	187842528	73023	-0.0197
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	913983	7286275	4615	0.6962
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	7299587	7302780	2	-0.6683
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	7303763	7361062	42	0.6862
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	7361417	14745159	4973	0.3774
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	14745248	15027873	180	0.0132
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	15028693	18176514	1350	0.3852
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	18177143	35096435	9090	-0.0245
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	35097449	36502939	991	0.3812
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	36503363	59023790	10134	-0.0156
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	59032734	59201147	161	-0.6502
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	59204976	67974777	4909	-0.0202
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	67974939	68510447	376	0.3748
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	68519131	76041769	3424	-0.0128
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	76042845	76133449	70	0.4195
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	76162119	76179177	23	-0.0627
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	76181376	76676466	357	0.3851
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	76677436	77116086	225	-0.0285
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	77116782	77197583	68	0.4379
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	77199660	78956266	1079	-0.0147
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	78961007	104700266	12876	0.3842
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	104709199	104727162	15	-0.691
VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_H02_1362416	5	104730402	104795375	35	0.7181
