Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	3301765	5567091	1585	-0.0325
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	5567852	10573682	2663	0.0226
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	10576638	10583772	4	-1.1737
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	10584776	47691054	19593	0.0162
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	47691380	50155409	1371	-0.0419
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	50156353	55347023	2763	0.0245
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	55347207	61590074	4703	-0.0325
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	61591898	68734009	5103	-5e-04
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	68741599	77065883	4630	-0.0606
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	77066868	81282927	2267	-0.0058
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	81283738	83158490	1328	-0.0574
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	83160285	95593524	7801	-0.0035
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	95597602	98059888	1413	-0.0619
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	98060570	101776054	2365	0.0014
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	101778545	107167716	2700	-0.0514
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	107167756	163513818	15631	0.0062
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	163514231	167401323	2938	-0.0341
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	167401914	174655921	4791	0.0073
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	174656277	177602262	1573	-0.0471
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	177602999	186753298	5943	0.0087
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	186756757	200446308	8088	-0.059
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	200446971	207761884	4603	0.0068
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	207765604	209421616	1280	-0.0528
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	209422508	214926576	3820	-0.0031
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	214926836	218121838	2203	-0.0558
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	1	218122457	247650984	18762	8e-04
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	480597	8723537	5115	-0.0584
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	8723729	9274141	306	0.0354
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	9274853	9276528	2	1.2057
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	9277205	13239961	2774	0.0026
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	13241979	23879047	7101	-0.0514
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	23886446	28763484	2285	0.0049
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	29003693	32388176	2268	-0.0541
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	32390773	33844159	559	0.0231
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	33844562	35244401	806	-0.0511
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	35244509	35245790	4	-0.8793
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	35247731	36734580	831	-0.0593
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	36735898	40265073	1745	0.0058
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	40265107	41561538	717	-0.0747
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	41561601	48682054	4693	-0.0105
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	48682994	53978528	2912	-0.0815
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	53981511	55676485	754	0.0091
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	55677070	60580420	2993	-0.0606
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	60580720	65902360	2749	2e-04
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	65902403	67545168	1190	-0.0638
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	67547396	75779971	4716	-0.0188
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	75781354	84877023	4902	-0.0691
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	84877180	103046853	5280	-0.0119
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	103052928	104825941	1079	-0.0746
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	104826320	109343295	2773	-0.0288
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	109343624	109704919	205	0.3666
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	110640222	114096158	1671	-6e-04
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	114096377	117548121	1533	-0.0778
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	117551381	135631213	9175	-0.0444
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	135631917	140981719	2861	-0.08
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	140982701	141007309	24	-1.0202
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	141013563	143366922	1545	-0.0857
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	143368196	145408953	1122	-0.0212
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	145409572	148128529	1384	-0.0932
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	148131320	148425907	124	-0.5954
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	148429874	157538681	5424	-0.0609
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	157541799	161235055	2310	-0.0117
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	161238698	170711332	5612	-0.0693
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	170719912	178378753	4782	-0.0167
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	178379155	190015200	5928	-0.0612
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	190024221	191839973	1124	9e-04
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	191840447	195475768	1298	-0.0925
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	195477304	200536708	2914	-0.0394
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	200536813	204638799	2106	0.0109
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	204639946	205286726	477	-0.0451
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	205286850	205289276	2	-1.2671
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	205291326	210295913	2972	-0.0452
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	210296362	214221628	2378	-0.0975
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	214222478	219995759	3578	-0.0199
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	219996132	221493572	1083	-0.0883
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	221494189	227927765	4135	-0.0211
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	227929279	231094600	1821	-0.0708
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	2	231094936	241537572	6159	-0.0103
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	2170634	4460530	1226	-0.0391
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	4463040	4576618	107	-0.8197
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	4576639	5249344	415	0.0147
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	5253253	7499447	1035	-0.0674
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	7503502	7506380	15	-0.7926
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	7508724	8851862	1043	-0.0594
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	8853172	18289559	6043	-0.0085
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	18289649	22645751	2127	-0.0586
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	22645858	25520124	1979	-0.0019
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	25520318	29440017	2195	-0.0451
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	29440555	34121755	2975	-0.001
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	34122982	40392671	3926	-0.045
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	40392872	50923305	5261	0.016
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	50923335	50923415	3	-1.039
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	50923434	53646023	1222	0.0104
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	53646097	61067399	4120	-0.0245
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	61069477	61073759	3	-1.5891
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	61074940	64538884	2632	-0.0095
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	64540037	68803094	3029	-0.0602
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	68803521	74172791	3939	0.0066
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	74172875	111254202	17270	-0.0553
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	111254476	117203898	3799	-0.0153
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	117204170	117350973	85	-0.9174
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	117351137	119489009	1313	-0.0486
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	119491752	119574293	54	-0.8558
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	119576555	130569097	6130	-2e-04
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	130570180	140674092	5951	-0.0367
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	140675684	143690119	1387	-0.0057
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	143690430	146652269	1693	-0.0863
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	146652335	149787630	1350	-0.0134
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	149788018	150915523	580	0.0437
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	150918437	161127830	5740	-0.0309
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	161131306	167333083	2610	-0.0795
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	167337975	174297320	3795	-0.0219
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	174300263	174504652	119	-0.8962
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	174507555	182629464	4154	-0.0462
YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_E08_1306176	3	182629616	189239675	3709	-0.0054
