Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	3301765	37024268	18150	-0.6175
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	37024826	60889725	13995	-0.5743
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	60890295	60890385	2	-2.9073
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	60893723	64268696	2360	-0.5639
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	64271273	108865108	26812	-0.5401
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	108867754	119984772	6915	-0.5694
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	149906351	168327057	11296	0.056
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	168327198	173789977	3768	0.0914
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	173790179	183676608	6052	0.063
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	183677219	199596882	9418	0.0982
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	199609538	213719318	9357	0.0526
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	213719803	222256321	5918	0.0916
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	222257118	240652920	12162	0.0663
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	240654653	240657773	5	-0.9402
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	1	240662000	247650984	3819	0.0635
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	2	480597	136221447	71541	0.0576
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	2	136222470	208966940	41026	0.0818
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	2	208967874	208969257	2	-1.5282
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	2	208972568	215916228	4160	0.0905
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	2	215919106	219653125	2267	0.0394
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	2	219658517	229486781	6508	0.0701
SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_F02_1361586	2	229486842	237161661	4501	0.0312
