Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	3301765	5176710	1335	0.1346
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	5185758	6212753	663	-0.669
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	6215458	6910483	331	0.0829
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	6912248	56735264	26743	0.1276
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	56736335	56739993	6	-0.6857
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	56740186	68626265	8681	0.1284
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	68626915	70413169	889	0.1011
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	70415478	70427232	10	-0.5806
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	70428988	70779147	241	0.1171
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	70779208	70780985	4	-0.6787
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	70785071	81023962	5757	0.0994
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	81025670	81084277	39	-0.6991
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	81087604	83148982	1355	0.0957
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	83154701	85554843	1566	0.1534
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	85555486	87578682	1275	0.1196
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	87581005	87586681	6	-0.5612
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	87587552	101303900	8420	0.1212
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	101304545	106972857	2931	0.0841
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	106973388	162659156	15027	0.1226
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	162659537	162683484	31	-0.6288
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	162686399	188370722	17092	0.1211
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	188374223	188762521	235	-0.6557
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	188765661	200624306	6862	0.0989
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	200624340	234943191	22605	0.1192
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	234943210	234948319	7	-0.521
APRES_p_TCGAb_414_15_16_17_NSP_GenomeWideSNP_6_D11_1486282	1	234951493	247650984	7983	0.1173
