Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	1	3301765	4291398	550	-0.0251
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	1	4291828	4307329	14	-0.6262
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	1	4307522	19676420	8643	-0.0283
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	1	19682387	46345355	13858	-0.0091
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	1	46347595	247650984	106842	-0.0337
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	2	480597	241537572	132251	-0.0195
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	3	2170634	44946302	25524	-0.0369
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	3	44948108	53605386	3995	0.0024
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	3	53605912	175086598	66011	-0.0407
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	3	175087178	175090139	2	-1.5604
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	3	175090542	197812401	11713	-0.034
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	4	1059384	36806042	22150	-0.047
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	4	36806873	41042921	2607	-0.0075
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	4	41043950	43645636	1407	-0.0477
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	4	43648139	43677891	17	0.503
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	4	43683444	112120533	36387	-0.0401
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	4	112124421	112129953	7	-1.0237
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	4	112133919	187842528	41049	-0.0478
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	5	913983	7516442	4709	0.3625
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	5	7516834	7862330	287	0.6756
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	5	7862813	50828231	21193	0.378
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	5	50829022	166249698	66227	-0.044
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	5	166250539	166251121	2	-1.7764
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	5	166251210	180934240	8800	-0.0501
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	6	1011760	24738668	16843	-0.0378
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	6	24739144	37823455	5280	-0.0027
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	6	37823749	41096048	2433	-0.0408
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	6	41098687	45447808	2351	-0.0013
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	6	45449354	170596889	70317	-0.0497
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	664936	1847089	278	0.5067
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	1848705	7996567	2823	0.5471
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	7999031	50729988	26625	0.5083
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	50730436	70600824	6909	0.4858
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	70603628	139036617	35518	0.5118
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	139037122	140621762	766	0.5718
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	140621972	148620666	4191	0.5037
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	148623109	152195840	1667	0.5502
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	7	152198017	158592540	3347	0.494
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	667625	8978020	3749	-0.4795
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	8980588	8981012	3	-3.1783
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	8981603	43080575	21293	-0.4539
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	46547532	103833192	32762	0.4774
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	103833981	103836965	2	-0.8496
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	103838250	128446240	14903	0.4841
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	128452386	128461433	7	-0.6553
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	128461760	130336114	1168	0.5098
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	130336864	140551316	7727	0.4704
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	8	140552358	144182542	606	0.5173
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	9	789794	124783904	61780	-0.0396
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	9	124784761	132773518	4574	-0.0026
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	9	132775997	138044505	2210	-0.0332
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	10	366509	64638921	38540	-0.0413
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	10	64639652	64640112	2	-2.1625
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	10	64643074	65688827	664	-0.0672
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	10	65689159	120939334	34406	-0.0394
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	10	120940767	133411599	7799	-0.0654
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	11	456012	973976	137	-0.0771
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	11	976019	56270130	30627	-0.1389
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	11	56275224	60343649	2335	-0.0406
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_H11_895930	11	60343679	67490111	2742	0.0047
