Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	3301765	3827520	273	0.1942
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	3827697	25870572	12214	0.2527
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	25871185	27202544	524	0.0783
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	27214735	62517760	20327	0.2652
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	62520852	65277440	2035	0.1586
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	65279246	94748168	17911	0.296
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	94751663	94753478	2	-1.0054
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	94754605	97138481	1505	0.3012
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	97142554	98657683	791	0.1505
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	98663947	114360529	9180	0.2959
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	114361241	114363458	2	-1.0855
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	114363970	119984772	3517	0.2858
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	149906351	183688913	21116	-0.4064
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	183688964	197528279	8119	-0.3645
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	197534902	199577780	1266	-0.1713
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	199579140	200098941	280	-0.3749
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	200100088	200166271	71	0.7339
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	200166436	200539440	283	0.573
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	200555289	209809636	6206	-0.3819
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	209809745	242235812	21727	-0.1842
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	242237011	242237927	2	-1.5157
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	1	242237961	247650984	2701	-0.1837
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	2	480597	143097414	75465	-0.2174
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	2	143107279	191664669	27870	-0.1975
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	2	191665740	191703186	22	-0.7618
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	2	191703338	196833011	2160	-0.1925
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	2	196836237	196839324	2	-1.6209
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	2	196843988	215781635	11053	-0.2012
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	2	215784438	228829365	8358	-0.2192
ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_D07_895884	2	228833766	228850237	11	-2.8277
