Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	3301765	9976002	3962	-0.1099
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	9980232	10158146	61	0.2097
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	10158319	18818643	4674	-0.1044
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	18819939	18827571	4	-1.5314
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	18829475	47828448	15262	-0.0974
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	47829248	57886900	6094	-0.1288
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	57890329	57947843	72	-0.7081
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	57948761	119984772	38115	-0.12
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	149906351	196444440	28792	0.4479
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	196445328	212716525	10462	0.47
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	212716803	221389801	5880	0.4366
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	221394833	221395833	3	-3.7331
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	221395980	221404667	4	-1.1654
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	1	221405132	247650984	16625	0.4443
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	480597	2230342	382	-0.4745
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	2230670	2234864	2	-2.4177
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	2236733	6346125	3032	-0.4532
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	6346397	9370405	2077	-0.4234
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	9370640	9370654	2	-2.3917
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	9373010	19256565	6767	-0.4241
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	19257041	19305423	49	-0.8435
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	19316259	99313302	39962	-0.4243
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	99313355	130875789	16615	-0.4527
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	130876272	130876294	2	-2.6948
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	130877198	158864195	15494	-0.4441
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	158869757	158869978	2	-2.2897
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	158873581	230405779	41264	-0.4478
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	230406957	230408575	2	-2.6463
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	2	230414264	241537572	6522	-0.4515
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	3	2170634	44872221	25491	0.1299
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	3	44873758	53066198	3744	0.1674
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	3	53067564	61908492	4997	0.1226
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	3	61909026	63396536	1168	-0.6512
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	3	63399278	197812401	71890	0.1215
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	4	1059384	11091217	5495	0.1831
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	4	11091428	17344751	4640	0.1424
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	4	17351202	17355229	6	-0.8829
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	4	17358509	35454733	11170	0.1375
RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_D08_895708	4	35455331	107352408	38529	0.1692
