Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	3301765	5461468	1496	0.1575
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	5466119	7868121	1472	0.1108
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	7868699	12366567	2188	0.0505
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	12366666	13870286	502	0.0979
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	13871234	15375905	1222	0.153
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	15375938	17640549	861	0.0491
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	17641264	20312870	1918	0.1184
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	20318259	23319835	1614	0.0805
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	23326452	28309378	2170	0.0473
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	28311566	28311748	2	-1.0884
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	28313899	28936058	212	0.0331
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	28944500	47515835	10038	0.0999
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	47516970	50298888	1598	0.1971
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	50299668	54882206	2342	0.1019
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	54888266	61661276	5087	0.1958
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	61661425	62832986	737	0.1306
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	62833095	80731535	10944	0.2027
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	80737369	80918463	115	0.7022
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	80926946	88553332	5022	0.2119
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	88562189	89600493	591	0.1396
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	89600531	92366344	1667	0.1989
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	92367645	93508548	529	0.1135
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	93508964	99954227	4104	0.2032
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	99954311	100343443	201	0.0791
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	100344138	108541678	4440	0.1971
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	108544068	115070252	3962	0.1376
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	115070326	119984772	3143	0.1977
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	149906351	151691956	664	0.5107
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	151693162	153301277	976	0.6682
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	153302849	156833150	1599	0.5612
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	156834329	160175917	2197	0.6738
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	160176383	161732351	814	0.5976
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	161732594	165632128	3123	0.7126
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	165632329	173680297	5611	0.6824
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	173680855	175051406	651	0.612
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	175052667	176430547	602	0.6792
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	176433120	178715863	1480	0.7302
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	178716168	185972695	4795	0.6655
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	185972855	197990782	6953	0.7088
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	197991759	197993385	3	-0.2956
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	197995021	198352051	210	0.7208
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	198352227	207844570	6011	0.6376
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	207844729	211088479	2539	0.7075
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	211089492	213287610	1289	0.6369
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	213288617	219813237	4607	0.7314
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	219814705	221067455	766	0.6784
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	221068178	221068378	2	-0.4406
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	221070587	223430540	1476	0.694
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	223434047	223519820	70	0.8032
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	223520224	225711110	1225	0.6523
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	225712708	226352049	270	0.5477
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	226352305	229720200	1933	0.6466
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	229725739	233823659	2994	0.6853
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	233827424	233828272	2	-0.6797
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	233830577	234337032	430	0.6966
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	234337336	236857860	1573	0.6315
SHUNS_p_TCGAb_388_389_NSP_GenomeWideSNP_6_D03_1464564	1	236858934	241008362	3257	0.7151
