Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	3301765	41371844	20426	0.1433
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	41372658	54353857	6940	0.1668
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	54354304	54863208	282	0.1239
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	54864957	75748687	13847	0.1938
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	75748823	75776578	21	0.6397
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	75779689	108962041	19856	0.1941
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	108962290	108966416	3	-1.2281
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	108966674	119984738	6871	0.1888
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	119984772	150750319	295	0.3234
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	150753252	151252036	179	0.4775
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	151266930	154560027	1711	0.343
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	154562290	155287701	385	0.4995
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	155287867	157616726	1181	0.3407
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	157618540	162071116	2752	-0.0277
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	162071361	198515561	23324	0.005
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	198515620	207760609	5838	-0.0171
FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_A10_1367278	1	207761884	208949329	968	0.3689
