Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	60	60	1508983	43815063	-0.1346	-0.134632773919435	0	No
chr1	61	84	24	43817887	46743975	0.1689	0.168866527450813	0	No
chr1	85	119	35	48012653	97915702	-0.2123	-0.212314301045757	0	No
chr1	120	147	28	97981294	118501113	-0.5237	-0.523709794491334	0	No
chr1	148	179	32	120075569	120539982	0.1022	0.102151260407628	0	No
chr1	180	301	122	120547898	185089417	0.6968	0.696752507399949	0	No
chr1	302	347	46	185089478	204495600	0.394	0.394039383690456	0	No
chr1	348	393	46	204499759	213032563	0.8633	0.863326667753859	0	No
chr1	394	441	48	213037019	249066411	0.5058	0.505786458731679	0	No
chr10	442	471	30	1500941	4504159	-0.5266	-0.526609186697537	0	No
chr10	472	491	19	6014160	27009308	-0.9191	-0.919064048164906	0	No
chr10	492	530	39	27012688	47048475	-0.4998	-0.499818813280393	0	No
chr10	531	532	2	48316920	49514091	-1.9711	-1.97106471016605	0	No
chr10	533	606	74	50666810	96818190	-0.6506	-0.650644750977836	0	No
chr10	607	665	59	96826929	112679936	-0.3584	-0.358422658203861	0	No
chr10	666	689	24	112711355	120000905	-0.7407	-0.740685476154263	0	No
chr10	690	714	25	121543275	127515278	-0.5011	-0.501081103373986	0	No
chr10	715	725	11	127516100	135030897	-0.8251	-0.825107772826318	0	No
chr11	726	732	7	532585	534731	0.0955	0.0955082356426622	0	No
chr11	733	808	76	1519567	47236850	-0.457	-0.45701235951586	0	No
chr11	809	943	135	47237835	93027471	-0.2243	-0.224322613296161	0	No
chr11	944	1039	96	94153219	108224641	-0.6406	-0.640560908196312	0	No
chr11	1040	1113	74	108225469	133715385	-0.3456	-0.345554728817796	0	No
chr12	1114	1243	130	1022487	51207287	0.0324	0.0324305707239936	0	No
chr12	1244	1275	32	51207608	53687288	0.4297	0.429686299600323	0	No
chr12	1276	1290	15	54019748	55500434	0.0167	0.0167022856024157	0	No
chr12	1291	1332	42	56212737	58145530	0.3658	0.365803201122404	0	No
chr12	1333	1425	93	58519969	115503264	0.1017	0.101715511830332	0	No
chr12	1426	1436	11	117008599	117680555	0.4124	0.412409609878659	0	No
chr12	1437	1456	20	117681053	120001294	0.1601	0.160050106699937	0	No
chr12	1457	1466	10	121416520	121439023	0.5689	0.568939276873175	0	No
chr12	1467	1496	30	121506081	132049339	0.1258	0.125803876009487	0	No
chr12	1497	1546	50	133201234	133501817	0.3958	0.395841468958606	0	No
chr13	1547	1694	148	19523245	48919369	-0.491	-0.491036129852878	0.00675675675675676	No
chr13	1695	1707	13	48921880	48955618	-0.9948	-0.99481248340872	0	No
chr13	1708	1790	83	49027075	114011202	-0.5429	-0.542857151133532	0	No
chr14	1791	1794	4	19220934	19264661	-0.0368	-0.03682365221463	0	No
chr14	1795	1803	9	20224281	20400682	-1.3081	-1.30807873744901	0	No
chr14	1804	1832	29	21014704	37500918	0.1816	0.181596111252923	0	No
chr14	1833	1910	78	39060993	68353936	-0.2703	-0.270331076298917	0	No
chr14	1911	2025	115	68758551	106509428	0.1617	0.161677893809278	0	No
chr15	2026	2038	13	20197802	22330459	0.1074	-0.057314383340202	0	No
chr15	2039	2307	269	22772275	102006022	0.4183	0.418302575920484	0	No
chr16	2308	2310	3	1521578	1823877	0.455	0.45502468023634	0	No
chr16	2311	2346	36	1824209	2126622	0.1839	0.183926948310331	0	No
